metric_name,description,base_unit,statistic,measurement_value,tag,tag_value,is_alert
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,833678.401,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,833827.774,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,833855.399,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,834230.419,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,834267.865,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,834456.222,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,834552.822,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,835451.962,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,836352.089,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,837251.991,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,838152.077,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,839051.766,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,839951.744,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,840852.034,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,841751.833,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,842651.78,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,843551.681,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,844451.873,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,845351.724,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,846251.666,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,847151.706,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,848051.713,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,848951.7,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,849851.627,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,850751.675,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,851651.655,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,852551.606,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,853451.605,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,854351.718,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,855251.595,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,856151.621,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,857051.617,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,857951.812,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,858851.623,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,859751.671,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,860651.692,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,861551.663,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,862451.671,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,863351.583,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,864251.677,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,865151.629,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,866051.562,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,866951.636,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,867851.579,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,868751.646,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,869651.622,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,870551.601,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,871451.694,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,872351.572,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,873251.585,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,874151.587,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,875051.561,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,875951.57,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,876851.589,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,877751.6,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,878651.573,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,879551.588,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,880451.735,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,881351.579,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,882251.635,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,883151.604,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,884051.721,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,884951.592,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,885851.553,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,886751.586,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,887651.59,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,888551.577,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,889451.538,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,890351.623,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,891251.628,,,True
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,892151.589,,,True
