metric_name,description,base_unit,statistic,measurement_value,tag,tag_value
disk.free,Usable space for path,bytes,VALUE,310747058176.0,path,/home/darlan/projetos/daily-API/.
disk.free,Usable space for path,bytes,VALUE,310811992064.0,path,/home/darlan/projetos/daily-API/.
disk.free,Usable space for path,bytes,VALUE,310746296320.0,path,/home/darlan/projetos/daily-API/.
disk.free,Usable space for path,bytes,VALUE,310810234880.0,path,/home/darlan/projetos/daily-API/.
disk.free,Usable space for path,bytes,VALUE,310720368640.0,path,/home/darlan/projetos/daily-API/.
disk.free,Usable space for path,bytes,VALUE,310703411200.0,path,/home/darlan/projetos/daily-API/.
disk.free,Usable space for path,bytes,VALUE,310743891968.0,path,/home/darlan/projetos/daily-API/.
disk.free,Usable space for path,bytes,VALUE,310741192704.0,path,/home/darlan/projetos/daily-API/.
disk.free,Usable space for path,bytes,VALUE,310739615744.0,path,/home/darlan/projetos/daily-API/.
disk.free,Usable space for path,bytes,VALUE,310734467072.0,path,/home/darlan/projetos/daily-API/.
disk.free,Usable space for path,bytes,VALUE,310738419712.0,path,/home/darlan/projetos/daily-API/.
disk.free,Usable space for path,bytes,VALUE,310735925248.0,path,/home/darlan/projetos/daily-API/.
disk.free,Usable space for path,bytes,VALUE,310664646656.0,path,/home/darlan/projetos/daily-API/.
disk.free,Usable space for path,bytes,VALUE,310661996544.0,path,/home/darlan/projetos/daily-API/.
disk.free,Usable space for path,bytes,VALUE,310659936256.0,path,/home/darlan/projetos/daily-API/.
disk.free,Usable space for path,bytes,VALUE,310657503232.0,path,/home/darlan/projetos/daily-API/.
disk.free,Usable space for path,bytes,VALUE,310717038592.0,path,/home/darlan/projetos/daily-API/.
disk.free,Usable space for path,bytes,VALUE,310714531840.0,path,/home/darlan/projetos/daily-API/.
disk.free,Usable space for path,bytes,VALUE,310712545280.0,path,/home/darlan/projetos/daily-API/.
disk.free,Usable space for path,bytes,VALUE,310710132736.0,path,/home/darlan/projetos/daily-API/.
disk.free,Usable space for path,bytes,VALUE,310716833792.0,path,/home/darlan/projetos/daily-API/.
disk.free,Usable space for path,bytes,VALUE,310696763392.0,path,/home/darlan/projetos/daily-API/.
