metric_name,description,base_unit,statistic,measurement_value,tag,tag_value,is_alert
http.server.requests,,seconds,COUNT,51.0,exception,none,False
http.server.requests,,seconds,COUNT,51.0,method,GET,False
http.server.requests,,seconds,COUNT,51.0,error,none,False
http.server.requests,,seconds,COUNT,51.0,uri,/actuator/jvmDetails,False
http.server.requests,,seconds,COUNT,51.0,uri,/actuator/metrics/{requiredMetricName},False
http.server.requests,,seconds,COUNT,51.0,outcome,SUCCESS,False
http.server.requests,,seconds,COUNT,51.0,status,200,False
http.server.requests,,seconds,TOTAL_TIME,0.1670937,exception,none,False
http.server.requests,,seconds,TOTAL_TIME,0.1670937,method,GET,False
http.server.requests,,seconds,TOTAL_TIME,0.1670937,error,none,False
http.server.requests,,seconds,TOTAL_TIME,0.1670937,uri,/actuator/jvmDetails,False
http.server.requests,,seconds,TOTAL_TIME,0.1670937,uri,/actuator/metrics/{requiredMetricName},False
http.server.requests,,seconds,TOTAL_TIME,0.1670937,outcome,SUCCESS,False
http.server.requests,,seconds,TOTAL_TIME,0.1670937,status,200,False
http.server.requests,,seconds,MAX,0.0550693,exception,none,False
http.server.requests,,seconds,MAX,0.0550693,method,GET,False
http.server.requests,,seconds,MAX,0.0550693,error,none,False
http.server.requests,,seconds,MAX,0.0550693,uri,/actuator/metrics/{requiredMetricName},False
http.server.requests,,seconds,MAX,0.0550693,uri,/actuator/jvmDetails,False
http.server.requests,,seconds,MAX,0.0550693,outcome,SUCCESS,False
http.server.requests,,seconds,MAX,0.0550693,status,200,False
http.server.requests,,seconds,COUNT,136.0,exception,none,False
http.server.requests,,seconds,COUNT,136.0,method,GET,False
http.server.requests,,seconds,COUNT,136.0,error,none,False
http.server.requests,,seconds,COUNT,136.0,uri,/actuator/jvmDetails,False
http.server.requests,,seconds,COUNT,136.0,uri,/actuator/metrics/{requiredMetricName},False
http.server.requests,,seconds,COUNT,136.0,outcome,CLIENT_ERROR,False
http.server.requests,,seconds,COUNT,136.0,outcome,SUCCESS,False
http.server.requests,,seconds,COUNT,136.0,status,404,False
http.server.requests,,seconds,COUNT,136.0,status,200,False
http.server.requests,,seconds,TOTAL_TIME,0.2694627,exception,none,False
http.server.requests,,seconds,TOTAL_TIME,0.2694627,method,GET,False
http.server.requests,,seconds,TOTAL_TIME,0.2694627,error,none,False
http.server.requests,,seconds,TOTAL_TIME,0.2694627,uri,/actuator/metrics/{requiredMetricName},False
http.server.requests,,seconds,TOTAL_TIME,0.2694627,uri,/actuator/jvmDetails,False
http.server.requests,,seconds,TOTAL_TIME,0.2694627,outcome,CLIENT_ERROR,False
http.server.requests,,seconds,TOTAL_TIME,0.2694627,outcome,SUCCESS,False
http.server.requests,,seconds,TOTAL_TIME,0.2694627,status,404,False
http.server.requests,,seconds,TOTAL_TIME,0.2694627,status,200,False
http.server.requests,,seconds,MAX,0.0030787,exception,none,False
http.server.requests,,seconds,MAX,0.0030787,method,GET,False
http.server.requests,,seconds,MAX,0.0030787,error,none,False
http.server.requests,,seconds,MAX,0.0030787,uri,/actuator/jvmDetails,False
http.server.requests,,seconds,MAX,0.0030787,uri,/actuator/metrics/{requiredMetricName},False
http.server.requests,,seconds,MAX,0.0030787,outcome,SUCCESS,False
http.server.requests,,seconds,MAX,0.0030787,outcome,CLIENT_ERROR,False
http.server.requests,,seconds,MAX,0.0030787,status,404,False
http.server.requests,,seconds,MAX,0.0030787,status,200,False
http.server.requests,,seconds,COUNT,221.0,exception,none,False
http.server.requests,,seconds,COUNT,221.0,method,GET,False
http.server.requests,,seconds,COUNT,221.0,error,none,False
http.server.requests,,seconds,COUNT,221.0,uri,/actuator/jvmDetails,False
http.server.requests,,seconds,COUNT,221.0,uri,/actuator/metrics/{requiredMetricName},False
http.server.requests,,seconds,COUNT,221.0,outcome,CLIENT_ERROR,False
http.server.requests,,seconds,COUNT,221.0,outcome,SUCCESS,False
http.server.requests,,seconds,COUNT,221.0,status,200,False
http.server.requests,,seconds,COUNT,221.0,status,404,False
http.server.requests,,seconds,TOTAL_TIME,0.3579685,exception,none,False
http.server.requests,,seconds,TOTAL_TIME,0.3579685,method,GET,False
http.server.requests,,seconds,TOTAL_TIME,0.3579685,error,none,False
http.server.requests,,seconds,TOTAL_TIME,0.3579685,uri,/actuator/metrics/{requiredMetricName},False
http.server.requests,,seconds,TOTAL_TIME,0.3579685,uri,/actuator/jvmDetails,False
http.server.requests,,seconds,TOTAL_TIME,0.3579685,outcome,CLIENT_ERROR,False
http.server.requests,,seconds,TOTAL_TIME,0.3579685,outcome,SUCCESS,False
http.server.requests,,seconds,TOTAL_TIME,0.3579685,status,404,False
http.server.requests,,seconds,TOTAL_TIME,0.3579685,status,200,False
http.server.requests,,seconds,MAX,0.0024256,exception,none,False
http.server.requests,,seconds,MAX,0.0024256,method,GET,False
http.server.requests,,seconds,MAX,0.0024256,error,none,False
http.server.requests,,seconds,MAX,0.0024256,uri,/actuator/metrics/{requiredMetricName},False
http.server.requests,,seconds,MAX,0.0024256,uri,/actuator/jvmDetails,False
http.server.requests,,seconds,MAX,0.0024256,outcome,SUCCESS,False
http.server.requests,,seconds,MAX,0.0024256,outcome,CLIENT_ERROR,False
http.server.requests,,seconds,MAX,0.0024256,status,404,False
http.server.requests,,seconds,MAX,0.0024256,status,200,False
http.server.requests,,seconds,COUNT,307.0,exception,none,False
http.server.requests,,seconds,COUNT,307.0,method,GET,False
http.server.requests,,seconds,COUNT,307.0,error,none,False
http.server.requests,,seconds,COUNT,307.0,uri,/actuator/metrics,False
http.server.requests,,seconds,COUNT,307.0,uri,/actuator/metrics/{requiredMetricName},False
http.server.requests,,seconds,COUNT,307.0,uri,/actuator/jvmDetails,False
http.server.requests,,seconds,COUNT,307.0,outcome,SUCCESS,False
http.server.requests,,seconds,COUNT,307.0,outcome,CLIENT_ERROR,False
http.server.requests,,seconds,COUNT,307.0,status,404,False
http.server.requests,,seconds,COUNT,307.0,status,200,False
http.server.requests,,seconds,TOTAL_TIME,0.4503992,exception,none,False
http.server.requests,,seconds,TOTAL_TIME,0.4503992,method,GET,False
http.server.requests,,seconds,TOTAL_TIME,0.4503992,error,none,False
http.server.requests,,seconds,TOTAL_TIME,0.4503992,uri,/actuator/metrics/{requiredMetricName},False
http.server.requests,,seconds,TOTAL_TIME,0.4503992,uri,/actuator/metrics,False
http.server.requests,,seconds,TOTAL_TIME,0.4503992,uri,/actuator/jvmDetails,False
http.server.requests,,seconds,TOTAL_TIME,0.4503992,outcome,SUCCESS,False
http.server.requests,,seconds,TOTAL_TIME,0.4503992,outcome,CLIENT_ERROR,False
http.server.requests,,seconds,TOTAL_TIME,0.4503992,status,404,False
http.server.requests,,seconds,TOTAL_TIME,0.4503992,status,200,False
http.server.requests,,seconds,MAX,0.0076939,exception,none,False
http.server.requests,,seconds,MAX,0.0076939,method,GET,False
http.server.requests,,seconds,MAX,0.0076939,error,none,False
http.server.requests,,seconds,MAX,0.0076939,uri,/actuator/jvmDetails,False
http.server.requests,,seconds,MAX,0.0076939,uri,/actuator/metrics,False
