metric_name,description,base_unit,statistic,measurement_value,tag,tag_value,is_alert
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,10.0,id,mapped,False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,10.0,id,mapped - 'non-volatile memory',False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,10.0,id,direct,False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,12.0,id,mapped,False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,12.0,id,mapped - 'non-volatile memory',False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,12.0,id,direct,False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,13.0,id,mapped,False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,13.0,id,mapped - 'non-volatile memory',False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,13.0,id,direct,False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,15.0,id,mapped,False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,15.0,id,mapped - 'non-volatile memory',False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,15.0,id,direct,False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,15.0,id,mapped,False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,15.0,id,mapped - 'non-volatile memory',False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,15.0,id,direct,False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,16.0,id,mapped,False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,16.0,id,mapped - 'non-volatile memory',False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,16.0,id,direct,False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,16.0,id,mapped,False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,16.0,id,mapped - 'non-volatile memory',False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,16.0,id,direct,False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,17.0,id,mapped,False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,17.0,id,mapped - 'non-volatile memory',False
jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,17.0,id,direct,False
