metric_name,description,base_unit,statistic,measurement_value,tag,tag_value,is_alert
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,26.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,26.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,26.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,26.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,26.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,26.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,26.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,26.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,26.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,27.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,27.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,27.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,27.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,27.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,27.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,27.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,27.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,27.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,27.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,27.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,27.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,27.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,27.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,27.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,27.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,27.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,27.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,27.0,,,False
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,27.0,,,False
