metric_name,description,base_unit,statistic,measurement_value,tag,tag_value,is_alert
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8628.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8628.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8628.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8630.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8630.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8630.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8630.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8646.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8650.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8668.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8670.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8688.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8690.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8708.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8710.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8728.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8730.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8746.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8748.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8766.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8768.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8786.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8788.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8804.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8806.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8824.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8826.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8844.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8846.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8862.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8864.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8880.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8882.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8900.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8902.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8918.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8918.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8934.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8934.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8952.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8952.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8970.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8970.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8986.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8986.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,9004.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,9004.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,9024.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,9024.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,9042.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,9042.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,9062.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,9062.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,9082.0,,,False
jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,9086.0,,,False
