metric_id,name,description,baseUnit,statistic,value,tags
114,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
3559,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,17.0,
3624,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
9149,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,10.0,
10580,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,12.0,
10633,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,10.0,
10792,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,12.0,
10845,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,10.0,
11110,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,12.0,
11163,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,10.0,
14661,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,12.0,
14714,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,10.0,
19378,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,12.0,
19431,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,10.0,
20650,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,12.0,
20703,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,10.0,
23247,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,12.0,
23300,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,10.0,
23565,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,12.0,
23618,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,10.0,
23671,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,12.0,
23724,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,10.0,
27116,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,12.0,
27169,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,10.0,
27752,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,12.0,
27805,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,10.0,
28070,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,12.0,
28123,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,10.0,
31091,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,12.0,
31144,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,10.0,
31409,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,12.0,
31462,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,10.0,
31515,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,12.0,
