metric_name,description,base_unit,statistic,measurement_value,is_alert,tag,tag_value
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,COUNT,88.0,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,TOTAL_TIME,0.057961727,False,pool,HikariPool-1
hikaricp.connections.acquire,Connection acquire time,seconds,MAX,0.0,False,pool,HikariPool-1
