metric_id,name,description,baseUnit,statistic,value,tags
131,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
196,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
261,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
326,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
391,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
456,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
521,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
586,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
651,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
716,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
781,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
846,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
911,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
976,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1041,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1106,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1171,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1236,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1301,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1366,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1431,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1496,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1561,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1626,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1691,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1756,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1821,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1886,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1951,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
2016,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
2081,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
2146,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
2211,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
2276,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
2341,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
2406,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
2471,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
2536,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
2601,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
2666,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
2731,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
2796,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
2861,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
2926,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
2991,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
3056,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
3121,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
3186,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
3251,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
3316,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
3381,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
3446,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
3511,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
3576,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
3641,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
3706,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
3771,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
3836,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
3901,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
3966,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
4031,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
4096,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
4161,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
4226,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
4291,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
4356,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
4421,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
4486,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
4551,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
4616,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
4681,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
4746,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
4811,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
4876,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
4941,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
5006,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
5071,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
5136,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
5201,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
5266,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
5331,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
5396,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
5461,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
5526,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
5591,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
5656,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
5721,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
5786,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
5851,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
5916,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
5981,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
6046,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
6111,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
6176,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
6241,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
6306,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
6371,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
6436,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
6501,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
6566,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
6631,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
6696,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
6761,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
6826,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
6891,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
6956,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
7021,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
7086,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
7151,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
7216,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
7281,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
7346,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
7411,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
7476,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
7541,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
7606,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
7671,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
7736,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
7801,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
7866,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
7931,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
7996,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
8061,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
8126,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
8191,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
8256,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
8321,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
8386,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
8451,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
8516,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
8581,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
8646,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
8711,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
8776,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
8841,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
8906,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
8971,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
9036,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,19.844,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
9101,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,21.619,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
9154,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,21.619,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
9207,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,21.619,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
9260,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,21.619,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
9313,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,21.619,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
9366,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,21.619,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
9419,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,21.619,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
9472,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,21.619,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
9525,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,21.619,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
9578,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,21.619,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
9631,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,21.619,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
9684,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,21.619,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
9737,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,21.619,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
9790,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,21.619,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
9843,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,21.619,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
9896,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,21.619,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
9949,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,21.619,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
10002,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,21.619,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
10055,application.ready.time,Time taken for the application to be ready to service requests,seconds,VALUE,21.619,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
