metric_id,name,description,baseUnit,statistic,value,tags
132,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
197,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
262,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
327,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
392,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
457,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
522,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
587,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
652,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
717,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
782,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
847,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
912,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
977,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1042,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1107,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1172,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1237,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1302,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1367,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1432,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1497,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1562,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1627,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1692,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1757,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
1822,application.started.time,Time taken to start the application,seconds,VALUE,19.841,main.application.class: tech.noetzold.dailyAPI.DailyApiApplication
