metric_id,name,description,baseUnit,statistic,value,tags
133,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
198,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
263,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
328,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
393,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
458,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
523,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
588,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
653,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
718,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
783,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
848,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
913,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
978,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
