metric_id,name,description,baseUnit,statistic,value,tags
134,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
199,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
264,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
329,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
394,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
459,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
524,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
589,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
654,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
719,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
784,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
849,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
914,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
979,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
1044,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
1109,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
1174,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
1239,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
1304,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
1369,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
1434,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
1499,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
1564,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
1629,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
1694,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
1759,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
1824,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
1889,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
1954,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
2019,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
2084,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
2149,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
2214,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
2279,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
2344,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
2409,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
2474,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
2539,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
2604,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
2669,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
2734,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
2799,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
2864,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
2929,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
2994,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3059,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3124,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3189,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3254,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3319,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3384,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3449,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3514,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3579,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3644,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3709,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3774,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3839,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3904,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3969,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4034,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4099,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4164,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4229,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4294,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4359,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4424,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4489,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4554,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4619,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4684,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4749,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4814,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4879,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4944,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
5009,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
5074,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
5139,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
5204,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
5269,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
5334,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
5399,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
5464,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
5529,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
5594,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
5659,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
5724,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
5789,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
5854,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
5919,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
5984,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
6049,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
6114,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
6179,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
6244,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
6309,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
6374,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
6439,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
6504,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
6569,cache.lock.duration,The time the cache has spent waiting on a lock,seconds,VALUE,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
