metric_id,name,description,baseUnit,statistic,value,tags
136,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
201,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
266,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
331,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
396,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
461,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
526,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
591,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
656,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
721,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
786,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
851,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
916,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
981,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1046,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1111,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1176,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1241,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1306,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1371,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1436,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1501,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1566,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1631,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1696,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1761,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1826,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1891,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1956,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
2021,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
2086,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
2151,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
2216,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
2281,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
2346,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
2411,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
2476,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
2541,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
2606,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
2671,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
2736,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
2801,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
2866,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
2931,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
2996,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
3061,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
3126,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
3191,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
3256,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
3321,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
3386,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
3451,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
3516,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
3581,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
3646,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
3711,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
3776,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
3841,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
3906,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
3971,cache.removals,Cache removals,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
