metric_id,name,description,baseUnit,statistic,value,tags
137,disk.free,Usable space for path,bytes,VALUE,310746296320.0,path: /home/darlan/projetos/daily-API/.
202,disk.free,Usable space for path,bytes,VALUE,310810234880.0,path: /home/darlan/projetos/daily-API/.
267,disk.free,Usable space for path,bytes,VALUE,310720368640.0,path: /home/darlan/projetos/daily-API/.
332,disk.free,Usable space for path,bytes,VALUE,310703411200.0,path: /home/darlan/projetos/daily-API/.
397,disk.free,Usable space for path,bytes,VALUE,310743891968.0,path: /home/darlan/projetos/daily-API/.
462,disk.free,Usable space for path,bytes,VALUE,310741192704.0,path: /home/darlan/projetos/daily-API/.
527,disk.free,Usable space for path,bytes,VALUE,310739615744.0,path: /home/darlan/projetos/daily-API/.
592,disk.free,Usable space for path,bytes,VALUE,310734467072.0,path: /home/darlan/projetos/daily-API/.
657,disk.free,Usable space for path,bytes,VALUE,310738419712.0,path: /home/darlan/projetos/daily-API/.
722,disk.free,Usable space for path,bytes,VALUE,310735925248.0,path: /home/darlan/projetos/daily-API/.
787,disk.free,Usable space for path,bytes,VALUE,310664646656.0,path: /home/darlan/projetos/daily-API/.
852,disk.free,Usable space for path,bytes,VALUE,310661996544.0,path: /home/darlan/projetos/daily-API/.
917,disk.free,Usable space for path,bytes,VALUE,310659936256.0,path: /home/darlan/projetos/daily-API/.
982,disk.free,Usable space for path,bytes,VALUE,310657503232.0,path: /home/darlan/projetos/daily-API/.
1047,disk.free,Usable space for path,bytes,VALUE,310717038592.0,path: /home/darlan/projetos/daily-API/.
1112,disk.free,Usable space for path,bytes,VALUE,310714531840.0,path: /home/darlan/projetos/daily-API/.
1177,disk.free,Usable space for path,bytes,VALUE,310712545280.0,path: /home/darlan/projetos/daily-API/.
1242,disk.free,Usable space for path,bytes,VALUE,310710132736.0,path: /home/darlan/projetos/daily-API/.
1307,disk.free,Usable space for path,bytes,VALUE,310716833792.0,path: /home/darlan/projetos/daily-API/.
1372,disk.free,Usable space for path,bytes,VALUE,310696763392.0,path: /home/darlan/projetos/daily-API/.
1437,disk.free,Usable space for path,bytes,VALUE,310685278208.0,path: /home/darlan/projetos/daily-API/.
1502,disk.free,Usable space for path,bytes,VALUE,310708723712.0,path: /home/darlan/projetos/daily-API/.
1567,disk.free,Usable space for path,bytes,VALUE,310711193600.0,path: /home/darlan/projetos/daily-API/.
1632,disk.free,Usable space for path,bytes,VALUE,310605795328.0,path: /home/darlan/projetos/daily-API/.
1697,disk.free,Usable space for path,bytes,VALUE,310705954816.0,path: /home/darlan/projetos/daily-API/.
1762,disk.free,Usable space for path,bytes,VALUE,310703210496.0,path: /home/darlan/projetos/daily-API/.
1827,disk.free,Usable space for path,bytes,VALUE,310706274304.0,path: /home/darlan/projetos/daily-API/.
1892,disk.free,Usable space for path,bytes,VALUE,310703136768.0,path: /home/darlan/projetos/daily-API/.
1957,disk.free,Usable space for path,bytes,VALUE,310700724224.0,path: /home/darlan/projetos/daily-API/.
2022,disk.free,Usable space for path,bytes,VALUE,310698041344.0,path: /home/darlan/projetos/daily-API/.
2087,disk.free,Usable space for path,bytes,VALUE,309883748352.0,path: /home/darlan/projetos/daily-API/.
2152,disk.free,Usable space for path,bytes,VALUE,309949476864.0,path: /home/darlan/projetos/daily-API/.
2217,disk.free,Usable space for path,bytes,VALUE,309947502592.0,path: /home/darlan/projetos/daily-API/.
2282,disk.free,Usable space for path,bytes,VALUE,309945126912.0,path: /home/darlan/projetos/daily-API/.
2347,disk.free,Usable space for path,bytes,VALUE,310695120896.0,path: /home/darlan/projetos/daily-API/.
2412,disk.free,Usable space for path,bytes,VALUE,310692413440.0,path: /home/darlan/projetos/daily-API/.
2477,disk.free,Usable space for path,bytes,VALUE,310690484224.0,path: /home/darlan/projetos/daily-API/.
2542,disk.free,Usable space for path,bytes,VALUE,310688514048.0,path: /home/darlan/projetos/daily-API/.
2607,disk.free,Usable space for path,bytes,VALUE,310589648896.0,path: /home/darlan/projetos/daily-API/.
2672,disk.free,Usable space for path,bytes,VALUE,310688133120.0,path: /home/darlan/projetos/daily-API/.
2737,disk.free,Usable space for path,bytes,VALUE,310668627968.0,path: /home/darlan/projetos/daily-API/.
2802,disk.free,Usable space for path,bytes,VALUE,310674825216.0,path: /home/darlan/projetos/daily-API/.
2867,disk.free,Usable space for path,bytes,VALUE,310677524480.0,path: /home/darlan/projetos/daily-API/.
2932,disk.free,Usable space for path,bytes,VALUE,310674640896.0,path: /home/darlan/projetos/daily-API/.
2997,disk.free,Usable space for path,bytes,VALUE,310567051264.0,path: /home/darlan/projetos/daily-API/.
3062,disk.free,Usable space for path,bytes,VALUE,310563397632.0,path: /home/darlan/projetos/daily-API/.
3127,disk.free,Usable space for path,bytes,VALUE,310671491072.0,path: /home/darlan/projetos/daily-API/.
3192,disk.free,Usable space for path,bytes,VALUE,310668664832.0,path: /home/darlan/projetos/daily-API/.
3257,disk.free,Usable space for path,bytes,VALUE,310665916416.0,path: /home/darlan/projetos/daily-API/.
3322,disk.free,Usable space for path,bytes,VALUE,310662774784.0,path: /home/darlan/projetos/daily-API/.
3387,disk.free,Usable space for path,bytes,VALUE,310664753152.0,path: /home/darlan/projetos/daily-API/.
3452,disk.free,Usable space for path,bytes,VALUE,310661951488.0,path: /home/darlan/projetos/daily-API/.
3517,disk.free,Usable space for path,bytes,VALUE,310659497984.0,path: /home/darlan/projetos/daily-API/.
3582,disk.free,Usable space for path,bytes,VALUE,310656552960.0,path: /home/darlan/projetos/daily-API/.
3647,disk.free,Usable space for path,bytes,VALUE,310658625536.0,path: /home/darlan/projetos/daily-API/.
3712,disk.free,Usable space for path,bytes,VALUE,310655647744.0,path: /home/darlan/projetos/daily-API/.
3777,disk.free,Usable space for path,bytes,VALUE,310653513728.0,path: /home/darlan/projetos/daily-API/.
3842,disk.free,Usable space for path,bytes,VALUE,310650859520.0,path: /home/darlan/projetos/daily-API/.
3907,disk.free,Usable space for path,bytes,VALUE,310653526016.0,path: /home/darlan/projetos/daily-API/.
3972,disk.free,Usable space for path,bytes,VALUE,310650732544.0,path: /home/darlan/projetos/daily-API/.
4037,disk.free,Usable space for path,bytes,VALUE,310648627200.0,path: /home/darlan/projetos/daily-API/.
4102,disk.free,Usable space for path,bytes,VALUE,310647693312.0,path: /home/darlan/projetos/daily-API/.
4167,disk.free,Usable space for path,bytes,VALUE,310649991168.0,path: /home/darlan/projetos/daily-API/.
4232,disk.free,Usable space for path,bytes,VALUE,310647209984.0,path: /home/darlan/projetos/daily-API/.
4297,disk.free,Usable space for path,bytes,VALUE,310645043200.0,path: /home/darlan/projetos/daily-API/.
4362,disk.free,Usable space for path,bytes,VALUE,310642503680.0,path: /home/darlan/projetos/daily-API/.
4427,disk.free,Usable space for path,bytes,VALUE,309897175040.0,path: /home/darlan/projetos/daily-API/.
4492,disk.free,Usable space for path,bytes,VALUE,309890703360.0,path: /home/darlan/projetos/daily-API/.
4557,disk.free,Usable space for path,bytes,VALUE,309891887104.0,path: /home/darlan/projetos/daily-API/.
4622,disk.free,Usable space for path,bytes,VALUE,309889400832.0,path: /home/darlan/projetos/daily-API/.
4687,disk.free,Usable space for path,bytes,VALUE,309892812800.0,path: /home/darlan/projetos/daily-API/.
4752,disk.free,Usable space for path,bytes,VALUE,309788389376.0,path: /home/darlan/projetos/daily-API/.
4817,disk.free,Usable space for path,bytes,VALUE,309782593536.0,path: /home/darlan/projetos/daily-API/.
4882,disk.free,Usable space for path,bytes,VALUE,309879566336.0,path: /home/darlan/projetos/daily-API/.
4947,disk.free,Usable space for path,bytes,VALUE,310619734016.0,path: /home/darlan/projetos/daily-API/.
5012,disk.free,Usable space for path,bytes,VALUE,310634250240.0,path: /home/darlan/projetos/daily-API/.
5077,disk.free,Usable space for path,bytes,VALUE,310530297856.0,path: /home/darlan/projetos/daily-API/.
5142,disk.free,Usable space for path,bytes,VALUE,310629474304.0,path: /home/darlan/projetos/daily-API/.
5207,disk.free,Usable space for path,bytes,VALUE,310638710784.0,path: /home/darlan/projetos/daily-API/.
5272,disk.free,Usable space for path,bytes,VALUE,310635974656.0,path: /home/darlan/projetos/daily-API/.
5337,disk.free,Usable space for path,bytes,VALUE,310633783296.0,path: /home/darlan/projetos/daily-API/.
5402,disk.free,Usable space for path,bytes,VALUE,310621609984.0,path: /home/darlan/projetos/daily-API/.
5467,disk.free,Usable space for path,bytes,VALUE,309877235712.0,path: /home/darlan/projetos/daily-API/.
5532,disk.free,Usable space for path,bytes,VALUE,309873737728.0,path: /home/darlan/projetos/daily-API/.
5597,disk.free,Usable space for path,bytes,VALUE,309870075904.0,path: /home/darlan/projetos/daily-API/.
5662,disk.free,Usable space for path,bytes,VALUE,309867433984.0,path: /home/darlan/projetos/daily-API/.
5727,disk.free,Usable space for path,bytes,VALUE,310642970624.0,path: /home/darlan/projetos/daily-API/.
5792,disk.free,Usable space for path,bytes,VALUE,310640119808.0,path: /home/darlan/projetos/daily-API/.
