metric_id,name,description,baseUnit,statistic,value,tags
146,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
211,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
276,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
341,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
406,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
471,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
536,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
601,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
666,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
731,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
796,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
861,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
926,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
991,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
1056,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
1121,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
1186,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
1251,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
1316,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
1381,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
1446,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
1511,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
1576,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
1641,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
1706,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
1771,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
1836,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
1901,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
1966,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
2031,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
2096,hikaricp.connections,Total connections,,VALUE,10.0,pool: HikariPool-1
