metric_id,name,description,baseUnit,statistic,value,tags
148,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
213,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
278,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
343,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
408,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
473,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
538,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
603,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
668,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
733,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
798,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
863,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
928,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
993,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
1058,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
1123,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
1188,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
1253,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
1318,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
1383,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
1448,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
1513,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
1578,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
1643,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
1708,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
1773,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
1838,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
1903,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
1968,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
2033,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
2098,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
2163,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
2228,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
2293,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
2358,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
2423,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
2488,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
2553,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
2618,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
2683,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
2748,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
2813,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
2878,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
2943,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
3008,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
3073,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
3138,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
3203,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
3268,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
3333,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
3398,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
3463,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
3528,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
3593,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
3658,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
3723,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
3788,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
3853,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
3918,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
3983,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
4048,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
4113,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
4178,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
4243,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
4308,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
4373,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
4438,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
4503,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
4568,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
4633,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
4698,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
4763,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
4828,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
4893,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
4958,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
5023,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
5088,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
5153,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
5218,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
5283,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
5348,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
5413,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
5478,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
5543,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
5608,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
5673,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
5738,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
5803,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
5868,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
5933,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
5998,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
6063,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
6128,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
6193,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
6258,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
6323,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
6388,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
6453,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
6518,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
6583,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
6648,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
6713,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
6778,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
6843,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
6908,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
6973,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
7038,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
7103,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
7168,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
7233,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
7298,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
7363,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
7428,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
7493,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
7558,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
7623,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
7688,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
7753,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
7818,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
7883,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
7948,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
8013,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
8078,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
8143,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
8208,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
8273,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
8338,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
8403,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
8468,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
8533,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
8598,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
8663,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
8728,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
8793,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
8858,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
8923,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
8988,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
9053,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
9118,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
9171,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
9224,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
9277,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
9330,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
9383,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
9436,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
9489,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
9542,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
9595,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
9648,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
9701,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
9754,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
9807,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
9860,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
9913,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
9966,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
10019,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
10072,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
10125,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
10178,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
10231,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
10284,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
10337,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
10390,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
10443,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
10496,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
10549,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
10602,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
10655,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
10708,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
10761,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
10814,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
10867,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
10920,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
10973,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
11026,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
11079,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
11132,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
11185,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
11238,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
11291,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
11344,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
11397,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
11450,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
11503,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
11556,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
11609,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
11662,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
11715,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
11768,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
11821,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
11874,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
11927,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
11980,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
12033,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
12086,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
12139,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
12192,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
12245,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
12298,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
12351,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
12404,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
12457,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
12510,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
12563,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
12616,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
12669,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
12722,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
12775,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
12828,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
12881,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
12934,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
12987,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
13040,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
13093,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
13146,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
13199,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
13252,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
13305,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
13358,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
13411,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
13464,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
13517,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
13570,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
13623,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
13676,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
13729,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
13782,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
13835,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
13888,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
13941,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
13994,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
14047,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
14100,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
14153,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
14206,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
14259,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
14312,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
14365,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
14418,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
14471,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
14524,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
14577,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
14630,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
14683,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
14736,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
14789,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
14842,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
14895,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
14948,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
15001,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
15054,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
15107,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
15160,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
15213,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
15266,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
15319,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
15372,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
15425,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
15478,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
15531,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
15584,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
15637,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
15690,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
15743,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
15796,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
15849,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
15902,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
15955,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
16008,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
16061,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
16114,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
16167,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
16220,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
16273,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
16326,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
16379,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
16432,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
16485,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
16538,hikaricp.connections.active,Active connections,,VALUE,0.0,pool: HikariPool-1
