metric_id,name,description,baseUnit,statistic,value,tags
149,hikaricp.connections.creation,Connection creation time,seconds,COUNT,4689.0,pool: HikariPool-1
149,hikaricp.connections.creation,Connection creation time,seconds,TOTAL_TIME,85.722,pool: HikariPool-1
149,hikaricp.connections.creation,Connection creation time,seconds,MAX,0.0,pool: HikariPool-1
214,hikaricp.connections.creation,Connection creation time,seconds,COUNT,4690.0,pool: HikariPool-1
214,hikaricp.connections.creation,Connection creation time,seconds,TOTAL_TIME,85.751,pool: HikariPool-1
214,hikaricp.connections.creation,Connection creation time,seconds,MAX,0.0,pool: HikariPool-1
279,hikaricp.connections.creation,Connection creation time,seconds,COUNT,4690.0,pool: HikariPool-1
279,hikaricp.connections.creation,Connection creation time,seconds,TOTAL_TIME,85.751,pool: HikariPool-1
279,hikaricp.connections.creation,Connection creation time,seconds,MAX,0.0,pool: HikariPool-1
344,hikaricp.connections.creation,Connection creation time,seconds,COUNT,4690.0,pool: HikariPool-1
344,hikaricp.connections.creation,Connection creation time,seconds,TOTAL_TIME,85.751,pool: HikariPool-1
344,hikaricp.connections.creation,Connection creation time,seconds,MAX,0.0,pool: HikariPool-1
409,hikaricp.connections.creation,Connection creation time,seconds,COUNT,4690.0,pool: HikariPool-1
409,hikaricp.connections.creation,Connection creation time,seconds,TOTAL_TIME,85.751,pool: HikariPool-1
409,hikaricp.connections.creation,Connection creation time,seconds,MAX,0.0,pool: HikariPool-1
474,hikaricp.connections.creation,Connection creation time,seconds,COUNT,4698.0,pool: HikariPool-1
474,hikaricp.connections.creation,Connection creation time,seconds,TOTAL_TIME,85.88,pool: HikariPool-1
474,hikaricp.connections.creation,Connection creation time,seconds,MAX,0.031,pool: HikariPool-1
539,hikaricp.connections.creation,Connection creation time,seconds,COUNT,4700.0,pool: HikariPool-1
539,hikaricp.connections.creation,Connection creation time,seconds,TOTAL_TIME,85.9,pool: HikariPool-1
539,hikaricp.connections.creation,Connection creation time,seconds,MAX,0.0,pool: HikariPool-1
604,hikaricp.connections.creation,Connection creation time,seconds,COUNT,4709.0,pool: HikariPool-1
604,hikaricp.connections.creation,Connection creation time,seconds,TOTAL_TIME,86.073,pool: HikariPool-1
604,hikaricp.connections.creation,Connection creation time,seconds,MAX,0.036,pool: HikariPool-1
669,hikaricp.connections.creation,Connection creation time,seconds,COUNT,4710.0,pool: HikariPool-1
669,hikaricp.connections.creation,Connection creation time,seconds,TOTAL_TIME,86.084,pool: HikariPool-1
669,hikaricp.connections.creation,Connection creation time,seconds,MAX,0.0,pool: HikariPool-1
734,hikaricp.connections.creation,Connection creation time,seconds,COUNT,4719.0,pool: HikariPool-1
734,hikaricp.connections.creation,Connection creation time,seconds,TOTAL_TIME,86.223,pool: HikariPool-1
734,hikaricp.connections.creation,Connection creation time,seconds,MAX,0.02,pool: HikariPool-1
799,hikaricp.connections.creation,Connection creation time,seconds,COUNT,4720.0,pool: HikariPool-1
