metric_id,name,description,baseUnit,statistic,value,tags
150,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
215,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
280,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
345,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
410,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
475,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
540,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
605,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
670,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
735,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
800,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
865,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
930,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
995,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
1060,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
1125,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
1190,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
1255,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
1320,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
1385,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
1450,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
1515,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
1580,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
1645,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
1710,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
1775,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
1840,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
1905,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
1970,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
2035,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
2100,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
2165,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
2230,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
2295,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
2360,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
2425,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
2490,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
2555,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
2620,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
2685,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
2750,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
2815,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
2880,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
2945,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
3010,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
3075,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
3140,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
3205,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
3270,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
3335,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
3400,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
3465,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
3530,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
3595,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
3660,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
3725,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
3790,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
3855,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
3920,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
3985,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
4050,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
4115,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
4180,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
4245,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
4310,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
4375,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
4440,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
4505,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
4570,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
4635,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
4700,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
4765,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
4830,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
4895,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
4960,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
5025,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
5090,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
5155,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
5220,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
5285,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
5350,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
5415,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
5480,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
5545,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
5610,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
5675,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
5740,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
5805,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
5870,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
5935,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
6000,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
6065,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
6130,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
6195,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
6260,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
6325,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
6390,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
6455,hikaricp.connections.idle,Idle connections,,VALUE,10.0,pool: HikariPool-1
