metric_id,name,description,baseUnit,statistic,value,tags
151,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
216,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
281,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
346,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
411,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
476,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
541,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
606,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
671,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
736,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
801,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
866,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
931,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
996,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
1061,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
1126,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
1191,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
1256,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
1321,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
1386,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
1451,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
1516,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
1581,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
1646,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
1711,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
1776,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
1841,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
1906,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
1971,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
2036,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
2101,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
2166,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
2231,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
2296,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
2361,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
2426,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
2491,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
2556,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
2621,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
2686,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
2751,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
2816,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
2881,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
2946,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
3011,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
3076,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
3141,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
3206,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
3271,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
3336,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
3401,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
3466,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
3531,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
3596,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
3661,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
3726,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
3791,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
3856,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
3921,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
3986,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
4051,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
4116,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
4181,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
4246,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
4311,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
4376,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
4441,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
4506,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
4571,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
4636,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
4701,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
4766,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
4831,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
4896,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
4961,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
5026,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
5091,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
5156,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
5221,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
5286,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
5351,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
5416,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
5481,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
5546,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
5611,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
5676,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
5741,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
5806,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
5871,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
5936,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
6001,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
6066,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
6131,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
6196,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
6261,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
6326,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
6391,hikaricp.connections.max,Max connections,,VALUE,10.0,pool: HikariPool-1
