metric_id,name,description,baseUnit,statistic,value,tags
152,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
217,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
282,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
347,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
412,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
477,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
542,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
607,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
672,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
737,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
802,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
867,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
932,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
997,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
1062,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
1127,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
1192,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
1257,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
1322,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
1387,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
1452,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
1517,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
1582,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
1647,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
1712,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
1777,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
1842,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
1907,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
1972,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
2037,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
2102,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
2167,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
2232,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
2297,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
2362,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
2427,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
2492,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
2557,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
2622,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
2687,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
2752,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
2817,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
2882,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
2947,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
3012,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
3077,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
3142,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
3207,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
3272,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
3337,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
3402,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
3467,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
3532,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
3597,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
3662,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
3727,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
3792,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
3857,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
3922,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
3987,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
4052,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
4117,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
4182,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
4247,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
4312,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
4377,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
4442,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
4507,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
4572,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
4637,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
4702,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
4767,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
4832,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
4897,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
4962,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
5027,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
5092,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
5157,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
5222,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
5287,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
5352,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
5417,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
5482,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
5547,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
5612,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
5677,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
5742,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
5807,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
5872,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
5937,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
6002,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
6067,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
6132,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
6197,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
6262,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
6327,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
6392,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
6457,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
6522,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
6587,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
6652,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
6717,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
6782,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
6847,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
6912,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
6977,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
7042,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
7107,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
7172,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
7237,hikaricp.connections.min,Min connections,,VALUE,10.0,pool: HikariPool-1
