metric_id,name,description,baseUnit,statistic,value,tags
154,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
219,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
284,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
349,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
414,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
479,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
544,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
609,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
674,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
739,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
804,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
869,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
934,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
999,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
1064,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
1129,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
1194,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
1259,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
1324,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
1389,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
1454,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
1519,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
1584,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
1649,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
1714,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
1779,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
1844,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
1909,hikaricp.connections.timeout,Connection timeout total count,,COUNT,0.0,pool: HikariPool-1
