metric_id,name,description,baseUnit,statistic,value,tags
155,hikaricp.connections.usage,Connection usage time,seconds,COUNT,88.0,pool: HikariPool-1
155,hikaricp.connections.usage,Connection usage time,seconds,TOTAL_TIME,12.299,pool: HikariPool-1
155,hikaricp.connections.usage,Connection usage time,seconds,MAX,0.0,pool: HikariPool-1
220,hikaricp.connections.usage,Connection usage time,seconds,COUNT,88.0,pool: HikariPool-1
220,hikaricp.connections.usage,Connection usage time,seconds,TOTAL_TIME,12.299,pool: HikariPool-1
220,hikaricp.connections.usage,Connection usage time,seconds,MAX,0.0,pool: HikariPool-1
285,hikaricp.connections.usage,Connection usage time,seconds,COUNT,88.0,pool: HikariPool-1
285,hikaricp.connections.usage,Connection usage time,seconds,TOTAL_TIME,12.299,pool: HikariPool-1
285,hikaricp.connections.usage,Connection usage time,seconds,MAX,0.0,pool: HikariPool-1
350,hikaricp.connections.usage,Connection usage time,seconds,COUNT,88.0,pool: HikariPool-1
350,hikaricp.connections.usage,Connection usage time,seconds,TOTAL_TIME,12.299,pool: HikariPool-1
350,hikaricp.connections.usage,Connection usage time,seconds,MAX,0.0,pool: HikariPool-1
415,hikaricp.connections.usage,Connection usage time,seconds,COUNT,88.0,pool: HikariPool-1
415,hikaricp.connections.usage,Connection usage time,seconds,TOTAL_TIME,12.299,pool: HikariPool-1
415,hikaricp.connections.usage,Connection usage time,seconds,MAX,0.0,pool: HikariPool-1
480,hikaricp.connections.usage,Connection usage time,seconds,COUNT,88.0,pool: HikariPool-1
480,hikaricp.connections.usage,Connection usage time,seconds,TOTAL_TIME,12.299,pool: HikariPool-1
480,hikaricp.connections.usage,Connection usage time,seconds,MAX,0.0,pool: HikariPool-1
545,hikaricp.connections.usage,Connection usage time,seconds,COUNT,88.0,pool: HikariPool-1
545,hikaricp.connections.usage,Connection usage time,seconds,TOTAL_TIME,12.299,pool: HikariPool-1
545,hikaricp.connections.usage,Connection usage time,seconds,MAX,0.0,pool: HikariPool-1
610,hikaricp.connections.usage,Connection usage time,seconds,COUNT,88.0,pool: HikariPool-1
610,hikaricp.connections.usage,Connection usage time,seconds,TOTAL_TIME,12.299,pool: HikariPool-1
610,hikaricp.connections.usage,Connection usage time,seconds,MAX,0.0,pool: HikariPool-1
675,hikaricp.connections.usage,Connection usage time,seconds,COUNT,88.0,pool: HikariPool-1
675,hikaricp.connections.usage,Connection usage time,seconds,TOTAL_TIME,12.299,pool: HikariPool-1
675,hikaricp.connections.usage,Connection usage time,seconds,MAX,0.0,pool: HikariPool-1
740,hikaricp.connections.usage,Connection usage time,seconds,COUNT,88.0,pool: HikariPool-1
740,hikaricp.connections.usage,Connection usage time,seconds,TOTAL_TIME,12.299,pool: HikariPool-1
740,hikaricp.connections.usage,Connection usage time,seconds,MAX,0.0,pool: HikariPool-1
805,hikaricp.connections.usage,Connection usage time,seconds,COUNT,88.0,pool: HikariPool-1
805,hikaricp.connections.usage,Connection usage time,seconds,TOTAL_TIME,12.299,pool: HikariPool-1
805,hikaricp.connections.usage,Connection usage time,seconds,MAX,0.0,pool: HikariPool-1
870,hikaricp.connections.usage,Connection usage time,seconds,COUNT,88.0,pool: HikariPool-1
870,hikaricp.connections.usage,Connection usage time,seconds,TOTAL_TIME,12.299,pool: HikariPool-1
870,hikaricp.connections.usage,Connection usage time,seconds,MAX,0.0,pool: HikariPool-1
935,hikaricp.connections.usage,Connection usage time,seconds,COUNT,88.0,pool: HikariPool-1
935,hikaricp.connections.usage,Connection usage time,seconds,TOTAL_TIME,12.299,pool: HikariPool-1
935,hikaricp.connections.usage,Connection usage time,seconds,MAX,0.0,pool: HikariPool-1
1000,hikaricp.connections.usage,Connection usage time,seconds,COUNT,88.0,pool: HikariPool-1
1000,hikaricp.connections.usage,Connection usage time,seconds,TOTAL_TIME,12.299,pool: HikariPool-1
1000,hikaricp.connections.usage,Connection usage time,seconds,MAX,0.0,pool: HikariPool-1
1065,hikaricp.connections.usage,Connection usage time,seconds,COUNT,88.0,pool: HikariPool-1
1065,hikaricp.connections.usage,Connection usage time,seconds,TOTAL_TIME,12.299,pool: HikariPool-1
1065,hikaricp.connections.usage,Connection usage time,seconds,MAX,0.0,pool: HikariPool-1
1130,hikaricp.connections.usage,Connection usage time,seconds,COUNT,88.0,pool: HikariPool-1
1130,hikaricp.connections.usage,Connection usage time,seconds,TOTAL_TIME,12.299,pool: HikariPool-1
