metric_id,name,description,baseUnit,statistic,value,tags
156,http.server.requests,,seconds,COUNT,54241.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
156,http.server.requests,,seconds,TOTAL_TIME,101.59834063000001,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
156,http.server.requests,,seconds,MAX,0.001024457,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
221,http.server.requests,,seconds,COUNT,54324.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
221,http.server.requests,,seconds,TOTAL_TIME,101.638698911,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
221,http.server.requests,,seconds,MAX,0.001594585,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
286,http.server.requests,,seconds,COUNT,54391.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
286,http.server.requests,,seconds,TOTAL_TIME,101.66961649500001,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
286,http.server.requests,,seconds,MAX,0.001594585,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
351,http.server.requests,,seconds,COUNT,54466.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
