metric_id,name,description,baseUnit,statistic,value,tags
159,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
224,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
289,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
354,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
419,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
484,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
549,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
614,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
679,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
744,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
809,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
874,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
939,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
1004,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
1069,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
1134,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
1199,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
1264,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
1329,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
1394,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
1459,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
1524,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
1589,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
1654,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
1719,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
1784,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
1849,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
1914,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
1979,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
2044,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
2109,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
2174,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
2239,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
2304,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
2369,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
2434,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
2499,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
2564,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
2629,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
2694,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
2759,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
2824,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
2889,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
2954,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
3019,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
3084,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
3149,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
3214,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
3279,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
3344,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
3409,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
3474,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
3539,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
3604,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
3669,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
3734,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
3799,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
3864,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
3929,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
3994,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
4059,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
4124,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
4189,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
4254,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
4319,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
4384,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
4449,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
4514,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
4579,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
4644,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
4709,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
4774,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
4839,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
4904,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
4969,jdbc.connections.idle,Number of established but idle connections.,,VALUE,10.0,name: dataSource
