metric_id,name,description,baseUnit,statistic,value,tags
161,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
226,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
291,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
356,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
421,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
486,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
551,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
616,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
681,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
746,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
811,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
876,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
941,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
1006,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
1071,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
1136,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
1201,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
1266,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
1331,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
1396,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
1461,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
1526,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
1591,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
1656,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
1721,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
1786,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
1851,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
1916,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
1981,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
2046,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
2111,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
2176,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
2241,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
2306,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
2371,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
2436,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
2501,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
2566,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
2631,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
2696,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
2761,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
2826,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
2891,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
2956,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
3021,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
3086,jdbc.connections.min,Minimum number of idle connections in the pool.,,VALUE,10.0,name: dataSource
