metric_id,name,description,baseUnit,statistic,value,tags
162,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
227,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
292,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
357,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
422,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
487,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
552,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
617,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
682,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
747,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
812,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
877,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
942,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
1007,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
1072,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
1137,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
1202,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
1267,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
1332,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
1397,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
1462,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
1527,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
1592,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
1657,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
1722,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
1787,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
1852,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
1917,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
1982,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
2047,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
2112,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
2177,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
2242,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
2307,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
2372,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
2437,jvm.buffer.count,An estimate of the number of buffers in the pool,buffers,VALUE,46.0,"id: mapped, mapped - 'non-volatile memory', direct"
