metric_id,name,description,baseUnit,statistic,value,tags
163,jvm.buffer.memory.used,An estimate of the memory that the Java virtual machine is using for this buffer pool,bytes,VALUE,4784705.0,"id: mapped, direct, mapped - 'non-volatile memory'"
228,jvm.buffer.memory.used,An estimate of the memory that the Java virtual machine is using for this buffer pool,bytes,VALUE,4784705.0,"id: mapped, direct, mapped - 'non-volatile memory'"
293,jvm.buffer.memory.used,An estimate of the memory that the Java virtual machine is using for this buffer pool,bytes,VALUE,4784705.0,"id: mapped, direct, mapped - 'non-volatile memory'"
358,jvm.buffer.memory.used,An estimate of the memory that the Java virtual machine is using for this buffer pool,bytes,VALUE,4784705.0,"id: mapped, direct, mapped - 'non-volatile memory'"
423,jvm.buffer.memory.used,An estimate of the memory that the Java virtual machine is using for this buffer pool,bytes,VALUE,4784705.0,"id: mapped, direct, mapped - 'non-volatile memory'"
488,jvm.buffer.memory.used,An estimate of the memory that the Java virtual machine is using for this buffer pool,bytes,VALUE,4784705.0,"id: mapped, direct, mapped - 'non-volatile memory'"
553,jvm.buffer.memory.used,An estimate of the memory that the Java virtual machine is using for this buffer pool,bytes,VALUE,4784705.0,"id: mapped, direct, mapped - 'non-volatile memory'"
618,jvm.buffer.memory.used,An estimate of the memory that the Java virtual machine is using for this buffer pool,bytes,VALUE,4784705.0,"id: mapped, direct, mapped - 'non-volatile memory'"
683,jvm.buffer.memory.used,An estimate of the memory that the Java virtual machine is using for this buffer pool,bytes,VALUE,4784705.0,"id: mapped, direct, mapped - 'non-volatile memory'"
748,jvm.buffer.memory.used,An estimate of the memory that the Java virtual machine is using for this buffer pool,bytes,VALUE,4784705.0,"id: mapped, direct, mapped - 'non-volatile memory'"
813,jvm.buffer.memory.used,An estimate of the memory that the Java virtual machine is using for this buffer pool,bytes,VALUE,4784705.0,"id: mapped, direct, mapped - 'non-volatile memory'"
878,jvm.buffer.memory.used,An estimate of the memory that the Java virtual machine is using for this buffer pool,bytes,VALUE,4784705.0,"id: mapped, direct, mapped - 'non-volatile memory'"
943,jvm.buffer.memory.used,An estimate of the memory that the Java virtual machine is using for this buffer pool,bytes,VALUE,4784705.0,"id: mapped, direct, mapped - 'non-volatile memory'"
1008,jvm.buffer.memory.used,An estimate of the memory that the Java virtual machine is using for this buffer pool,bytes,VALUE,4784705.0,"id: mapped, direct, mapped - 'non-volatile memory'"
1073,jvm.buffer.memory.used,An estimate of the memory that the Java virtual machine is using for this buffer pool,bytes,VALUE,4784705.0,"id: mapped, direct, mapped - 'non-volatile memory'"
1138,jvm.buffer.memory.used,An estimate of the memory that the Java virtual machine is using for this buffer pool,bytes,VALUE,4784705.0,"id: mapped, direct, mapped - 'non-volatile memory'"
