metric_id,name,description,baseUnit,statistic,value,tags
100,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,21034.0,
6925,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,21035.0,
9135,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18002.0,
9188,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18011.0,
9241,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18014.0,
9559,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18015.0,
10089,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18016.0,
10460,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18017.0,
11149,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18018.0,
11414,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18019.0,
12156,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18020.0,
14329,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18021.0,
14912,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18023.0,
17085,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18024.0,
38497,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,
33197,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18024.0,
38126,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,
49256,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18026.0,
63566,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18027.0,
74272,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18028.0,
100189,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18029.0,
105436,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18030.0,
105489,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,17998.0,
105542,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18011.0,
105595,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18014.0,
105913,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18015.0,
106443,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18016.0,
106867,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18017.0,
107768,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18018.0,
108828,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18019.0,
110153,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18020.0,
110683,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18021.0,
111266,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18023.0,
113492,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18024.0,
118635,jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,20661.0,
