metric_id,name,description,baseUnit,statistic,value,tags
101,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
166,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
231,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
296,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
361,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
426,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
491,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
556,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
621,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
686,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
751,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
816,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
881,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
946,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
1011,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
1076,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
1141,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
1206,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
1271,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
1336,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
1401,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
1466,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
1531,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
1596,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
1661,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
1726,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
1791,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
1856,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
1921,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
1986,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
2051,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
2116,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
2181,jvm.classes.unloaded,The total number of classes unloaded since the Java virtual machine has started execution,classes,COUNT,0.0,
