metric_id,name,description,baseUnit,statistic,value,tags
102,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,113940.0,compiler: HotSpot 64-Bit Tiered Compilers
167,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,113940.0,compiler: HotSpot 64-Bit Tiered Compilers
232,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,113940.0,compiler: HotSpot 64-Bit Tiered Compilers
297,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,113941.0,compiler: HotSpot 64-Bit Tiered Compilers
362,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,113943.0,compiler: HotSpot 64-Bit Tiered Compilers
427,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,113943.0,compiler: HotSpot 64-Bit Tiered Compilers
492,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,113946.0,compiler: HotSpot 64-Bit Tiered Compilers
557,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,113946.0,compiler: HotSpot 64-Bit Tiered Compilers
622,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,113946.0,compiler: HotSpot 64-Bit Tiered Compilers
687,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,113946.0,compiler: HotSpot 64-Bit Tiered Compilers
752,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,113946.0,compiler: HotSpot 64-Bit Tiered Compilers
817,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,113946.0,compiler: HotSpot 64-Bit Tiered Compilers
882,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,113992.0,compiler: HotSpot 64-Bit Tiered Compilers
947,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114005.0,compiler: HotSpot 64-Bit Tiered Compilers
1012,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114005.0,compiler: HotSpot 64-Bit Tiered Compilers
1077,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114005.0,compiler: HotSpot 64-Bit Tiered Compilers
1142,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114023.0,compiler: HotSpot 64-Bit Tiered Compilers
1207,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114023.0,compiler: HotSpot 64-Bit Tiered Compilers
1272,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114023.0,compiler: HotSpot 64-Bit Tiered Compilers
1337,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114023.0,compiler: HotSpot 64-Bit Tiered Compilers
1402,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114023.0,compiler: HotSpot 64-Bit Tiered Compilers
1467,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114023.0,compiler: HotSpot 64-Bit Tiered Compilers
1532,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114023.0,compiler: HotSpot 64-Bit Tiered Compilers
1597,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114023.0,compiler: HotSpot 64-Bit Tiered Compilers
1662,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114023.0,compiler: HotSpot 64-Bit Tiered Compilers
1727,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114023.0,compiler: HotSpot 64-Bit Tiered Compilers
1792,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114023.0,compiler: HotSpot 64-Bit Tiered Compilers
1857,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114024.0,compiler: HotSpot 64-Bit Tiered Compilers
1922,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114024.0,compiler: HotSpot 64-Bit Tiered Compilers
1987,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114024.0,compiler: HotSpot 64-Bit Tiered Compilers
2052,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114024.0,compiler: HotSpot 64-Bit Tiered Compilers
2117,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114024.0,compiler: HotSpot 64-Bit Tiered Compilers
2182,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114024.0,compiler: HotSpot 64-Bit Tiered Compilers
2247,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114024.0,compiler: HotSpot 64-Bit Tiered Compilers
2312,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114032.0,compiler: HotSpot 64-Bit Tiered Compilers
2377,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114032.0,compiler: HotSpot 64-Bit Tiered Compilers
2442,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114032.0,compiler: HotSpot 64-Bit Tiered Compilers
2507,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114032.0,compiler: HotSpot 64-Bit Tiered Compilers
2572,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114032.0,compiler: HotSpot 64-Bit Tiered Compilers
2637,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114032.0,compiler: HotSpot 64-Bit Tiered Compilers
2702,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114032.0,compiler: HotSpot 64-Bit Tiered Compilers
2767,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114032.0,compiler: HotSpot 64-Bit Tiered Compilers
2832,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114047.0,compiler: HotSpot 64-Bit Tiered Compilers
2897,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114047.0,compiler: HotSpot 64-Bit Tiered Compilers
2962,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114048.0,compiler: HotSpot 64-Bit Tiered Compilers
3027,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114048.0,compiler: HotSpot 64-Bit Tiered Compilers
3092,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114048.0,compiler: HotSpot 64-Bit Tiered Compilers
3157,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114048.0,compiler: HotSpot 64-Bit Tiered Compilers
3222,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114048.0,compiler: HotSpot 64-Bit Tiered Compilers
3287,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114048.0,compiler: HotSpot 64-Bit Tiered Compilers
3352,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114064.0,compiler: HotSpot 64-Bit Tiered Compilers
3417,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114064.0,compiler: HotSpot 64-Bit Tiered Compilers
3482,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114065.0,compiler: HotSpot 64-Bit Tiered Compilers
3547,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114066.0,compiler: HotSpot 64-Bit Tiered Compilers
3612,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114066.0,compiler: HotSpot 64-Bit Tiered Compilers
3677,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114067.0,compiler: HotSpot 64-Bit Tiered Compilers
3742,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114067.0,compiler: HotSpot 64-Bit Tiered Compilers
3807,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114067.0,compiler: HotSpot 64-Bit Tiered Compilers
3872,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114067.0,compiler: HotSpot 64-Bit Tiered Compilers
3937,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114067.0,compiler: HotSpot 64-Bit Tiered Compilers
4002,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114067.0,compiler: HotSpot 64-Bit Tiered Compilers
4067,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114067.0,compiler: HotSpot 64-Bit Tiered Compilers
4132,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114067.0,compiler: HotSpot 64-Bit Tiered Compilers
4197,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114067.0,compiler: HotSpot 64-Bit Tiered Compilers
4262,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114067.0,compiler: HotSpot 64-Bit Tiered Compilers
4327,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114067.0,compiler: HotSpot 64-Bit Tiered Compilers
4392,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114067.0,compiler: HotSpot 64-Bit Tiered Compilers
4457,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114067.0,compiler: HotSpot 64-Bit Tiered Compilers
4522,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114073.0,compiler: HotSpot 64-Bit Tiered Compilers
4587,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114090.0,compiler: HotSpot 64-Bit Tiered Compilers
4652,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114106.0,compiler: HotSpot 64-Bit Tiered Compilers
4717,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114190.0,compiler: HotSpot 64-Bit Tiered Compilers
4782,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114190.0,compiler: HotSpot 64-Bit Tiered Compilers
4847,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114190.0,compiler: HotSpot 64-Bit Tiered Compilers
4912,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114190.0,compiler: HotSpot 64-Bit Tiered Compilers
4977,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114193.0,compiler: HotSpot 64-Bit Tiered Compilers
5042,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114196.0,compiler: HotSpot 64-Bit Tiered Compilers
5107,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114196.0,compiler: HotSpot 64-Bit Tiered Compilers
5172,jvm.compilation.time,The approximate accumulated elapsed time spent in compilation,ms,COUNT,114196.0,compiler: HotSpot 64-Bit Tiered Compilers
