metric_id,name,description,baseUnit,statistic,value,tags
103,jvm.gc.live.data.size,Size of long-lived heap memory pool after reclamation,bytes,VALUE,0.0,
168,jvm.gc.live.data.size,Size of long-lived heap memory pool after reclamation,bytes,VALUE,0.0,
233,jvm.gc.live.data.size,Size of long-lived heap memory pool after reclamation,bytes,VALUE,0.0,
298,jvm.gc.live.data.size,Size of long-lived heap memory pool after reclamation,bytes,VALUE,0.0,
363,jvm.gc.live.data.size,Size of long-lived heap memory pool after reclamation,bytes,VALUE,0.0,
428,jvm.gc.live.data.size,Size of long-lived heap memory pool after reclamation,bytes,VALUE,0.0,
493,jvm.gc.live.data.size,Size of long-lived heap memory pool after reclamation,bytes,VALUE,0.0,
558,jvm.gc.live.data.size,Size of long-lived heap memory pool after reclamation,bytes,VALUE,0.0,
623,jvm.gc.live.data.size,Size of long-lived heap memory pool after reclamation,bytes,VALUE,0.0,
688,jvm.gc.live.data.size,Size of long-lived heap memory pool after reclamation,bytes,VALUE,0.0,
753,jvm.gc.live.data.size,Size of long-lived heap memory pool after reclamation,bytes,VALUE,0.0,
818,jvm.gc.live.data.size,Size of long-lived heap memory pool after reclamation,bytes,VALUE,0.0,
883,jvm.gc.live.data.size,Size of long-lived heap memory pool after reclamation,bytes,VALUE,0.0,
948,jvm.gc.live.data.size,Size of long-lived heap memory pool after reclamation,bytes,VALUE,0.0,
1013,jvm.gc.live.data.size,Size of long-lived heap memory pool after reclamation,bytes,VALUE,0.0,
1078,jvm.gc.live.data.size,Size of long-lived heap memory pool after reclamation,bytes,VALUE,0.0,
1143,jvm.gc.live.data.size,Size of long-lived heap memory pool after reclamation,bytes,VALUE,0.0,
1208,jvm.gc.live.data.size,Size of long-lived heap memory pool after reclamation,bytes,VALUE,0.0,
1273,jvm.gc.live.data.size,Size of long-lived heap memory pool after reclamation,bytes,VALUE,0.0,
1338,jvm.gc.live.data.size,Size of long-lived heap memory pool after reclamation,bytes,VALUE,0.0,
1403,jvm.gc.live.data.size,Size of long-lived heap memory pool after reclamation,bytes,VALUE,0.0,
