metric_id,name,description,baseUnit,statistic,value,tags
104,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
169,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
234,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
299,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
364,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
429,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
494,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
559,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
624,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
689,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
754,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
819,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
884,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
949,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
1014,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
1079,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
1144,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
1209,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
1274,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
1339,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
1404,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
1469,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
1534,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
1599,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
1664,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
1729,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
1794,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
1859,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
1924,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
1989,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
2054,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
2119,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
2184,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
2249,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
2314,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
2379,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
2444,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
2509,jvm.gc.max.data.size,Max size of long-lived heap memory pool,bytes,VALUE,4169138176.0,
