metric_id,name,description,baseUnit,statistic,value,tags
108,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
108,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
108,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
173,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
173,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
173,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
238,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
238,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
238,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
303,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
303,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
303,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
368,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
368,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
368,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
433,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
433,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
433,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
498,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
498,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
498,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
563,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
563,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
563,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
628,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
628,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
628,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
693,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
693,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
693,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
758,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
758,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
758,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
823,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
823,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.697,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
823,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
888,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,41.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
