metric_id,name,description,baseUnit,statistic,value,tags
110,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,417267712.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
4660,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,417398784.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
4725,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,417464320.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
6935,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,417529856.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
8495,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,417595392.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
9015,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,417660928.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
9145,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,318701568.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
9198,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,319553536.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
9251,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,321126400.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
9304,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,322043904.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
9357,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,322961408.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
9410,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,323944448.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
9463,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,324599808.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
9516,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,324796416.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
9569,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,325451776.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
9622,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,325713920.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
9675,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,326041600.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
