metric_id,name,description,baseUnit,statistic,value,tags
114,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
179,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
244,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
309,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
374,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
439,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
504,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
569,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
634,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
699,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
764,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
829,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
894,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
959,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
1024,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
1089,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
1154,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
1219,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
1284,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
1349,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
1414,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
1479,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
1544,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
1609,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
1674,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
1739,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
1804,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
1869,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
1934,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
1999,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
2064,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
2129,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
2194,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
2259,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
2324,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
2389,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
2454,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
2519,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
2584,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
2649,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
2714,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
2779,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
2844,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
2909,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
2974,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
3039,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
3104,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
3169,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
3234,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
3299,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
3364,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
3429,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
3494,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
3559,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,17.0,
3624,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
3689,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
3754,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
3819,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
3884,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
3949,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
4014,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
4079,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
4144,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
4209,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
4274,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
4339,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
4404,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
4469,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
4534,jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,
