metric_id,name,description,baseUnit,statistic,value,tags
115,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
180,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
245,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
310,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
375,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
440,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
505,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
570,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
635,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
700,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
765,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
830,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
895,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
960,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
1025,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
1090,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
1155,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
1220,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
1285,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
1350,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
1415,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
1480,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
1545,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
1610,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
1675,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
1740,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
1805,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
1870,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
1935,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
2000,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
2065,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
2130,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
2195,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
2260,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
2325,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
2390,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
2455,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
2520,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
2585,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
2650,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
2715,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
2780,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
2845,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
2910,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
2975,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
3040,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
3105,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
3170,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
3235,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
3300,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
3365,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
3430,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
3495,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
3560,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,30.0,
3625,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
3690,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
3755,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
3820,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
3885,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
3950,jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,28.0,
