metric_id,name,description,baseUnit,statistic,value,tags
116,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
181,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
246,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
311,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
376,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
441,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
506,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
571,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
636,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
701,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
766,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
831,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
896,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
961,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
1026,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
1091,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
1156,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
1221,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
1286,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
1351,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
1416,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
1481,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
1546,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
1611,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
1676,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
1741,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
1806,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
1871,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
1936,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
2001,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
2066,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
2131,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
2196,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
2261,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
2326,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
2391,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
2456,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
2521,jvm.threads.peak,The peak live thread count since the Java virtual machine started or peak was reset,threads,VALUE,31.0,
