metric_id,name,description,baseUnit,statistic,value,tags
117,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8628.0,
182,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8628.0,
247,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8630.0,
312,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8630.0,
377,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8630.0,
442,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8630.0,
507,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8646.0,
572,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8650.0,
637,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8668.0,
702,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8670.0,
767,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8688.0,
832,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8690.0,
897,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8708.0,
962,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8710.0,
1027,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8728.0,
1092,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8730.0,
1157,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8746.0,
1222,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8748.0,
1287,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8766.0,
1352,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8768.0,
1417,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8786.0,
1482,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8788.0,
1547,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8804.0,
1612,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8806.0,
1677,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8824.0,
1742,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8826.0,
1807,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8844.0,
1872,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8846.0,
1937,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8862.0,
2002,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8864.0,
2067,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8880.0,
2132,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8882.0,
2197,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8900.0,
2262,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8902.0,
2327,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8918.0,
2392,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8918.0,
2457,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8934.0,
2522,jvm.threads.started,The total number of application threads started in the JVM,threads,COUNT,8934.0,
