metric_id,name,description,baseUnit,statistic,value,tags
118,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
183,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
248,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
313,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
378,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
443,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
508,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
573,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
638,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
703,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
768,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
833,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
898,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
963,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
1028,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
1093,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
1158,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
1223,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
1288,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
1353,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
1418,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
1483,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
1548,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
1613,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
1678,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
1743,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
1808,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
1873,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
1938,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
2003,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
2068,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
2133,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
2198,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
2263,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
2328,jvm.threads.states,The current number of threads,threads,VALUE,28.0,"state: timed-waiting, new, runnable, blocked, waiting, terminated"
