metric_id,name,description,baseUnit,statistic,value,tags
119,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,COUNT,443.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
119,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,TOTAL_TIME,0.7478211690000002,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
119,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,MAX,0.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
184,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,COUNT,443.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
184,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,TOTAL_TIME,0.7478211690000002,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
184,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,MAX,0.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
249,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,COUNT,443.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
249,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,TOTAL_TIME,0.7478211690000002,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
249,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,MAX,0.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
314,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,COUNT,443.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
314,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,TOTAL_TIME,0.7478211690000002,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
314,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,MAX,0.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
379,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,COUNT,443.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
379,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,TOTAL_TIME,0.7478211690000002,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
379,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,MAX,0.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
444,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,COUNT,443.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
444,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,TOTAL_TIME,0.7478211690000002,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
444,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,MAX,0.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
509,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,COUNT,443.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
509,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,TOTAL_TIME,0.7478211690000002,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
509,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,MAX,0.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
574,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,COUNT,443.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
574,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,TOTAL_TIME,0.7478211690000002,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
574,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,MAX,0.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
639,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,COUNT,443.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
639,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,TOTAL_TIME,0.7478211690000002,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
639,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,MAX,0.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
704,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,COUNT,443.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
704,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,TOTAL_TIME,0.7478211690000002,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
704,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,MAX,0.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
769,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,COUNT,443.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
769,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,TOTAL_TIME,0.7478211690000002,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
769,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,MAX,0.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
834,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,COUNT,443.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
834,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,TOTAL_TIME,0.7478211690000002,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
834,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,MAX,0.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
899,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,COUNT,443.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
899,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,TOTAL_TIME,0.7478211690000002,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
899,lettuce.command.completion,Latency between command send and command completion (complete response received,seconds,MAX,0.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
