metric_id,name,description,baseUnit,statistic,value,tags
120,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,COUNT,443.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
120,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,TOTAL_TIME,0.6952673060000001,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
120,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,MAX,0.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
185,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,COUNT,443.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
185,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,TOTAL_TIME,0.6952673060000001,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
185,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,MAX,0.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
250,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,COUNT,443.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
250,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,TOTAL_TIME,0.6952673060000001,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
250,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,MAX,0.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
315,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,COUNT,443.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
315,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,TOTAL_TIME,0.6952673060000001,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
315,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,MAX,0.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
380,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,COUNT,443.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
380,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,TOTAL_TIME,0.6952673060000001,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
380,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,MAX,0.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
445,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,COUNT,443.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
445,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,TOTAL_TIME,0.6952673060000001,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
445,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,MAX,0.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
510,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,COUNT,443.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
510,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,TOTAL_TIME,0.6952673060000001,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
510,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,MAX,0.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
575,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,COUNT,443.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
575,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,TOTAL_TIME,0.6952673060000001,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
575,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,MAX,0.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
640,lettuce.command.firstresponse,Latency between command send and first response (first response received),seconds,COUNT,443.0,"remote: localhost/127.0.0.1:6379; local: local:any; command: DEL, SET, HELLO, CLIENT, GET, KEYS"
