metric_id,name,description,baseUnit,statistic,value,tags
121,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
186,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
251,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
316,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
381,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
446,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
511,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
576,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
641,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
706,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
771,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
836,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
901,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
966,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
1031,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
1096,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
1161,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
1226,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
1291,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
1356,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
1421,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
1486,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
1551,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
1616,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
1681,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
1746,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
1811,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
1876,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
1941,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
2006,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
2071,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
2136,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
2201,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
2266,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
2331,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
2396,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
2461,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
2526,logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,"level: warn, trace, debug, error, info"
