metric_id,name,description,baseUnit,statistic,value,tags
123,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
188,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
253,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
318,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
383,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
448,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
513,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
578,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
643,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
708,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
773,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
838,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
903,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
968,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
1033,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
1098,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
1163,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
1228,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
1293,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
1358,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
1423,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
1488,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
1553,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
1618,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
1683,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
1748,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
1813,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
1878,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
1943,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
2008,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
2073,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
2138,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
2203,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
2268,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
2333,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
2398,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
2463,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
2528,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
2593,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
2658,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
2723,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
2788,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
2853,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
2918,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
2983,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
3048,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
3113,process.files.max,The maximum file descriptor count,files,VALUE,1048576.0,
