metric_id,name,description,baseUnit,statistic,value,tags
124,process.files.open,The open file descriptor count,files,VALUE,42.0,
189,process.files.open,The open file descriptor count,files,VALUE,42.0,
254,process.files.open,The open file descriptor count,files,VALUE,42.0,
319,process.files.open,The open file descriptor count,files,VALUE,42.0,
384,process.files.open,The open file descriptor count,files,VALUE,42.0,
449,process.files.open,The open file descriptor count,files,VALUE,42.0,
514,process.files.open,The open file descriptor count,files,VALUE,42.0,
579,process.files.open,The open file descriptor count,files,VALUE,42.0,
644,process.files.open,The open file descriptor count,files,VALUE,42.0,
1034,process.files.open,The open file descriptor count,files,VALUE,42.0,
709,process.files.open,The open file descriptor count,files,VALUE,42.0,
774,process.files.open,The open file descriptor count,files,VALUE,42.0,
839,process.files.open,The open file descriptor count,files,VALUE,42.0,
904,process.files.open,The open file descriptor count,files,VALUE,42.0,
969,process.files.open,The open file descriptor count,files,VALUE,42.0,
1099,process.files.open,The open file descriptor count,files,VALUE,42.0,
1164,process.files.open,The open file descriptor count,files,VALUE,42.0,
1229,process.files.open,The open file descriptor count,files,VALUE,42.0,
1294,process.files.open,The open file descriptor count,files,VALUE,42.0,
1359,process.files.open,The open file descriptor count,files,VALUE,42.0,
1424,process.files.open,The open file descriptor count,files,VALUE,42.0,
1489,process.files.open,The open file descriptor count,files,VALUE,42.0,
1554,process.files.open,The open file descriptor count,files,VALUE,42.0,
1619,process.files.open,The open file descriptor count,files,VALUE,42.0,
1684,process.files.open,The open file descriptor count,files,VALUE,42.0,
1749,process.files.open,The open file descriptor count,files,VALUE,42.0,
1814,process.files.open,The open file descriptor count,files,VALUE,42.0,
1879,process.files.open,The open file descriptor count,files,VALUE,42.0,
1944,process.files.open,The open file descriptor count,files,VALUE,42.0,
2139,process.files.open,The open file descriptor count,files,VALUE,42.0,
2009,process.files.open,The open file descriptor count,files,VALUE,42.0,
2074,process.files.open,The open file descriptor count,files,VALUE,42.0,
2204,process.files.open,The open file descriptor count,files,VALUE,42.0,
2269,process.files.open,The open file descriptor count,files,VALUE,42.0,
2334,process.files.open,The open file descriptor count,files,VALUE,42.0,
2399,process.files.open,The open file descriptor count,files,VALUE,42.0,
2464,process.files.open,The open file descriptor count,files,VALUE,42.0,
2529,process.files.open,The open file descriptor count,files,VALUE,42.0,
2594,process.files.open,The open file descriptor count,files,VALUE,42.0,
2659,process.files.open,The open file descriptor count,files,VALUE,42.0,
2724,process.files.open,The open file descriptor count,files,VALUE,42.0,
2789,process.files.open,The open file descriptor count,files,VALUE,42.0,
2854,process.files.open,The open file descriptor count,files,VALUE,42.0,
2919,process.files.open,The open file descriptor count,files,VALUE,42.0,
2984,process.files.open,The open file descriptor count,files,VALUE,42.0,
3049,process.files.open,The open file descriptor count,files,VALUE,42.0,
3244,process.files.open,The open file descriptor count,files,VALUE,42.0,
3114,process.files.open,The open file descriptor count,files,VALUE,42.0,
3179,process.files.open,The open file descriptor count,files,VALUE,42.0,
3309,process.files.open,The open file descriptor count,files,VALUE,42.0,
3374,process.files.open,The open file descriptor count,files,VALUE,42.0,
3439,process.files.open,The open file descriptor count,files,VALUE,42.0,
3504,process.files.open,The open file descriptor count,files,VALUE,42.0,
3569,process.files.open,The open file descriptor count,files,VALUE,42.0,
3634,process.files.open,The open file descriptor count,files,VALUE,42.0,
3699,process.files.open,The open file descriptor count,files,VALUE,42.0,
3764,process.files.open,The open file descriptor count,files,VALUE,42.0,
3829,process.files.open,The open file descriptor count,files,VALUE,42.0,
3894,process.files.open,The open file descriptor count,files,VALUE,42.0,
3959,process.files.open,The open file descriptor count,files,VALUE,42.0,
4349,process.files.open,The open file descriptor count,files,VALUE,42.0,
4024,process.files.open,The open file descriptor count,files,VALUE,42.0,
4089,process.files.open,The open file descriptor count,files,VALUE,42.0,
4154,process.files.open,The open file descriptor count,files,VALUE,42.0,
4219,process.files.open,The open file descriptor count,files,VALUE,42.0,
4284,process.files.open,The open file descriptor count,files,VALUE,42.0,
4414,process.files.open,The open file descriptor count,files,VALUE,42.0,
4479,process.files.open,The open file descriptor count,files,VALUE,42.0,
4544,process.files.open,The open file descriptor count,files,VALUE,42.0,
4609,process.files.open,The open file descriptor count,files,VALUE,42.0,
4674,process.files.open,The open file descriptor count,files,VALUE,42.0,
4739,process.files.open,The open file descriptor count,files,VALUE,42.0,
