metric_id,name,description,baseUnit,statistic,value,tags
125,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
190,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
255,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
320,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
385,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
450,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
515,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
580,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
645,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
710,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
775,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
840,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
905,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
1035,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
970,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
1100,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
1165,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
1230,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
1295,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
1360,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
1425,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
1490,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
1555,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
1620,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
1685,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
1750,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
1815,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
1880,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
1945,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
2010,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
2140,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
2075,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
2205,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
2270,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
2335,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
2400,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
2465,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
2530,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
2595,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
2660,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
2725,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
2790,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
2855,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
2920,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
2985,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
3050,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
3115,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
3245,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
3180,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
3310,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
3375,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
3440,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
3505,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
3570,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
3635,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
3700,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
3765,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
3830,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
3895,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
3960,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
4025,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
4090,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
4155,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
4220,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
4350,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
4285,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
4415,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
4480,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
4545,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
4610,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
4675,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
4740,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
4805,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
4870,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
4935,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
5000,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
5065,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
5130,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
5195,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
5260,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
5325,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
5455,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
5390,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
5520,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
5585,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
5650,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
5715,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
5780,process.start.time,Start time of the process since unix epoch.,seconds,VALUE,1704973975.363,
