metric_id,name,description,baseUnit,statistic,value,tags
126,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,833827.774,
191,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,833855.399,
256,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,834230.419,
321,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,834267.865,
386,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,834456.222,
451,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,834552.822,
516,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,835451.962,
581,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,836352.089,
646,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,837251.991,
711,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,838152.077,
776,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,839051.766,
841,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,839951.744,
1036,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,842651.78,
906,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,840852.034,
971,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,841751.833,
1101,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,843551.681,
1166,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,844451.873,
1231,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,845351.724,
1296,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,846251.666,
1361,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,847151.706,
1426,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,848051.713,
1491,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,848951.7,
1556,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,849851.627,
1621,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,850751.675,
1686,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,851651.655,
1751,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,852551.606,
1816,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,853451.605,
1881,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,854351.718,
1946,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,855251.595,
2011,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,856151.621,
2076,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,857051.617,
2141,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,857951.812,
2206,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,858851.623,
2271,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,859751.671,
2336,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,860651.692,
2401,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,861551.663,
2466,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,862451.671,
2531,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,863351.583,
2596,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,864251.677,
2661,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,865151.629,
2726,process.uptime,The uptime of the Java virtual machine,seconds,VALUE,866051.562,
