metric_id,name,description,baseUnit,statistic,value,tags
127,spring.data.repository.invocations,Duration of repository invocations,seconds,COUNT,99.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
127,spring.data.repository.invocations,Duration of repository invocations,seconds,TOTAL_TIME,2.6745776130000003,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
127,spring.data.repository.invocations,Duration of repository invocations,seconds,MAX,0.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
192,spring.data.repository.invocations,Duration of repository invocations,seconds,COUNT,99.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
192,spring.data.repository.invocations,Duration of repository invocations,seconds,TOTAL_TIME,2.6745776130000003,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
192,spring.data.repository.invocations,Duration of repository invocations,seconds,MAX,0.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
257,spring.data.repository.invocations,Duration of repository invocations,seconds,COUNT,99.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
257,spring.data.repository.invocations,Duration of repository invocations,seconds,TOTAL_TIME,2.6745776130000003,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
257,spring.data.repository.invocations,Duration of repository invocations,seconds,MAX,0.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
322,spring.data.repository.invocations,Duration of repository invocations,seconds,COUNT,99.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
322,spring.data.repository.invocations,Duration of repository invocations,seconds,TOTAL_TIME,2.6745776130000003,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
322,spring.data.repository.invocations,Duration of repository invocations,seconds,MAX,0.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
387,spring.data.repository.invocations,Duration of repository invocations,seconds,COUNT,99.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
387,spring.data.repository.invocations,Duration of repository invocations,seconds,TOTAL_TIME,2.6745776130000003,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
387,spring.data.repository.invocations,Duration of repository invocations,seconds,MAX,0.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
452,spring.data.repository.invocations,Duration of repository invocations,seconds,COUNT,99.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
452,spring.data.repository.invocations,Duration of repository invocations,seconds,TOTAL_TIME,2.6745776130000003,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
452,spring.data.repository.invocations,Duration of repository invocations,seconds,MAX,0.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
517,spring.data.repository.invocations,Duration of repository invocations,seconds,COUNT,99.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
517,spring.data.repository.invocations,Duration of repository invocations,seconds,TOTAL_TIME,2.6745776130000003,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
517,spring.data.repository.invocations,Duration of repository invocations,seconds,MAX,0.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
582,spring.data.repository.invocations,Duration of repository invocations,seconds,COUNT,99.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
