metric_id,name,description,baseUnit,statistic,value,tags
128,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
193,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
258,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
323,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
388,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
453,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
518,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
583,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
648,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
713,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
778,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
843,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
908,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
973,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
1038,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
1103,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
1168,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
1233,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
1298,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
1363,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
1428,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
1493,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
1558,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
1623,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
1688,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
1753,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
1818,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
1883,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
1948,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
2013,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
2078,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
2143,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
2208,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
2273,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
2338,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
2403,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
2468,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
2533,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
2598,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
2663,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
2728,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
2793,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
2858,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
2923,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
2988,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
3053,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
3118,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
3183,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
3248,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
3313,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
3378,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
3443,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
3508,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
3573,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
3638,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
3703,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
3768,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
3833,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
3898,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
3963,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
4028,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
4093,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
4158,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
4223,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
4288,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
4353,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
4418,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
4483,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
4548,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
4613,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
4678,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
4743,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
4808,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
4873,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
4938,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
5003,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
5068,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
5133,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
5198,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
5263,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
5328,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
5393,system.cpu.count,The number of processors available to the Java virtual machine,,VALUE,4.0,
