metric_id,name,description,baseUnit,statistic,value,tags
129,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.4958353748162665,
194,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.6771862422246615,
259,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3765641855447681,
324,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.6227516778523491,
389,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.4455446871231408,
454,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.4730352374469868,
519,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3475864823884527,
584,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3229007848322034,
649,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3163438208951863,
714,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3354968559116451,
779,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.35086155256637763,
844,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2817124069054633,
909,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2655678578829169,
974,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2760568349836462,
1039,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3008691464220512,
1104,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2657214111581248,
1169,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.24377526805501468,
1234,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.25727532496638283,
1299,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.27776424437407077,
1364,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2549201431008738,
1429,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2503585193152281,
1494,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2724650021567298,
1559,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.29016690520938077,
1624,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.25443281290279196,
1689,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2499866949387547,
1754,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.27260327685198155,
1819,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2876767948297925,
1884,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.25558677607232205,
1949,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.252423566593446,
2014,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2784690281847161,
2079,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2860959197560422,
2144,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2519526653742282,
2209,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2549262981527608,
2274,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.274788550943819,
2339,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2902484364239041,
2404,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3390495379385644,
2469,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3072438063063063,
2534,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3305596620908131,
2599,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.34119245232075107,
2664,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.31365442606318517,
2729,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3101542517830785,
2794,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.33786668018223487,
2859,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3414348075560006,
2924,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3130274008895002,
2989,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3063537918334938,
3054,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.33446839646535714,
3119,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.34309658731386306,
3184,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.316513167159555,
3249,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3009406773214784,
3314,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.32131271048740306,
3379,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.336768609542663,
3444,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3066621575921542,
3509,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2980225391645461,
3574,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3120867428368759,
3639,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3324552219482815,
3704,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3023726501123323,
3769,system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3020206060128098,
