metric_name,description,base_unit,statistic,measurement_value,tag,tag_value
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,warn
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,trace
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,debug
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,error
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,info
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,warn
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,trace
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,debug
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,error
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,info
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,warn
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,trace
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,debug
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,error
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,info
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,warn
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,trace
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,debug
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,error
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,info
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,warn
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,trace
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,debug
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,error
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,info
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,warn
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,trace
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,debug
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,error
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,info
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,warn
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,trace
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,debug
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,error
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,info
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,warn
logback.events,Number of log events that were enabled by the effective log level,events,COUNT,1828.0,level,trace
