metric_name,description,base_unit,statistic,measurement_value,tag,tag_value
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,833678.401,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,833827.774,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,833855.399,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,834230.419,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,834267.865,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,834456.222,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,834552.822,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,835451.962,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,836352.089,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,837251.991,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,838152.077,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,839051.766,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,839951.744,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,840852.034,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,841751.833,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,842651.78,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,843551.681,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,844451.873,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,845351.724,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,846251.666,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,847151.706,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,848051.713,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,848951.7,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,849851.627,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,850751.675,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,851651.655,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,852551.606,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,853451.605,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,854351.718,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,855251.595,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,856151.621,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,857051.617,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,857951.812,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,858851.623,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,859751.671,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,860651.692,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,861551.663,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,862451.671,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,863351.583,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,864251.677,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,865151.629,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,866051.562,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,866951.636,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,867851.579,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,868751.646,,
process.uptime,The uptime of the Java virtual machine,seconds,VALUE,869651.622,,
