Model Name,Accuracy Name,Metric Name,Accuracy Value,Training Date
SVR,MSE,disk_free,3.3759971561678155e+21%,2024-03-05
SVR,MAE,disk_free,33.37640512569%,2024-03-05
SVR,R2,disk_free,87.07%,2024-03-05
SVR,Explained Variance,disk_free,85.00%,2024-03-05
GradientBoostingRegressor,MSE,disk_free,4.531088112008407040%,2024-03-05
GradientBoostingRegressor,MAE,disk_free,2.4353836723%,2024-03-05
GradientBoostingRegressor,R2,disk_free,97.00%,2024-03-05
GradientBoostingRegressor,Explained Variance,disk_free,92.00%,2024-03-05
GradientBoostingRegressor,MSE,jvm_buffer_count,10.73%,2024-03-05
GradientBoostingRegressor,MAE,jvm_buffer_count,0.62%,2024-03-05
GradientBoostingRegressor,R2,jvm_buffer_count,81.99%,2024-03-05
GradientBoostingRegressor,Explained Variance,jvm_buffer_count,89.99%,2024-03-05
SVR,MSE,jvm_buffer_count,65.47%,2024-03-05
SVR,MAE,jvm_buffer_count,10.46%,2024-03-05
SVR,R2,jvm_buffer_count,20.99%,2024-03-05
SVR,Explained Variance,jvm_buffer_count,60.99%,2024-03-05
GradientBoostingRegressor,MSE,hikaricp_connections_acquire,6.46899370443089%,2024-03-05
GradientBoostingRegressor,MAE,hikaricp_connections_acquire,12.538568%,2024-03-05
GradientBoostingRegressor,R2,hikaricp_connections_acquire,78.99%,2024-03-05
GradientBoostingRegressor,Explained Variance,hikaricp_connections_acquire,79.99%,2024-03-05
RandomForestRegressor,MSE,jvm_buffer_count,3.97%,2024-03-05
RandomForestRegressor,MAE,jvm_buffer_count,0.46%,2024-03-05
RandomForestRegressor,R2,jvm_buffer_count,80.99%,2024-03-05
RandomForestRegressor,Explained Variance,jvm_buffer_count,82.99%,2024-03-05
SVR,MSE,hikaricp_connections_acquire,10.2761723036022975%,2024-03-05
SVR,MAE,hikaricp_connections_acquire,21.29785550%,2024-03-05
SVR,R2,hikaricp_connections_acquire,68.11%,2024-03-05
SVR,Explained Variance,hikaricp_connections_acquire,76.00%,2024-03-05
RandomForestRegressor,MSE,disk_free,9.45900130798713856000%,2024-03-05
RandomForestRegressor,MAE,disk_free,194.55008467%,2024-03-05
RandomForestRegressor,R2,disk_free,81.00%,2024-03-05
RandomForestRegressor,Explained Variance,disk_free,82.07%,2024-03-05
GradientBoostingRegressor,MSE,http_server_requests_active,12.51%,2024-03-05
GradientBoostingRegressor,MAE,http_server_requests_active,2.38%,2024-03-05
GradientBoostingRegressor,R2,http_server_requests_active,86.86%,2024-03-05
GradientBoostingRegressor,Explained Variance,http_server_requests_active,75.86%,2024-03-05
RandomForestRegressor,MSE,hikaricp_connections_acquire,6.48438412718502%,2024-03-05
RandomForestRegressor,MAE,hikaricp_connections_acquire,5.934063%,2024-03-05
RandomForestRegressor,R2,hikaricp_connections_acquire,90.99%,2024-03-05
RandomForestRegressor,Explained Variance,hikaricp_connections_acquire,85.99%,2024-03-05
GradientBoostingRegressor,MSE,jvm_buffer_memory_used,3.773749374719%,2024-03-05
GradientBoostingRegressor,MAE,jvm_buffer_memory_used,23.46093%,2024-03-05
GradientBoostingRegressor,R2,jvm_buffer_memory_used,74.00%,2024-03-05
GradientBoostingRegressor,Explained Variance,jvm_buffer_memory_used,79.00%,2024-03-05
RandomForestRegressor,MSE,jvm_buffer_memory_used,3.891368240754%,2024-03-05
RandomForestRegressor,MAE,jvm_buffer_memory_used,1.7537.54%,2024-03-05
RandomForestRegressor,R2,jvm_buffer_memory_used,78.00%,2024-03-05
RandomForestRegressor,Explained Variance,jvm_buffer_memory_used,81.01%,2024-03-05
GradientBoostingRegressor,MSE,jvm_buffer_total_capacity,3.730440131379%,2024-03-05
GradientBoostingRegressor,MAE,jvm_buffer_total_capacity,2.329698%,2024-03-05
GradientBoostingRegressor,R2,jvm_buffer_total_capacity,77.00%,2024-03-05
GradientBoostingRegressor,Explained Variance,jvm_buffer_total_capacity,74.00%,2024-03-05
SVR,MSE,jvm_buffer_memory_used,11.06808359650365%,2024-03-05
SVR,MAE,jvm_buffer_memory_used,24.5322277%,2024-03-05
SVR,R2,jvm_buffer_memory_used,70.11%,2024-03-05
SVR,Explained Variance,jvm_buffer_memory_used,67.21%,2024-03-05
GradientBoostingRegressor,MSE,jvm_classes_loaded,2.33704%,2024-03-05
GradientBoostingRegressor,MAE,jvm_classes_loaded,15.00%,2024-03-05
GradientBoostingRegressor,R2,jvm_classes_loaded,92.00%,2024-03-05
GradientBoostingRegressor,Explained Variance,jvm_classes_loaded,89.00%,2024-03-05
SVR,MSE,jvm_classes_loaded,10.71317%,2024-03-05
SVR,MAE,jvm_classes_loaded,13.17%,2024-03-05
SVR,R2,jvm_classes_loaded,61.99%,2024-03-05
SVR,Explained Variance,jvm_classes_loaded,54.99%,2024-03-05
SVR,MSE,jvm_buffer_total_capacity,11.06736383821638%,2024-03-05
SVR,MAE,jvm_buffer_total_capacity,2.45379092%,2024-03-05
SVR,R2,jvm_buffer_total_capacity,76.11%,2024-03-05
SVR,Explained Variance,jvm_buffer_total_capacity,69.21%,2024-03-05
RandomForestRegressor,MSE,jvm_buffer_total_capacity,3.799536912758%,2024-03-05
RandomForestRegressor,MAE,jvm_buffer_total_capacity,1.349369%,2024-03-05
RandomForestRegressor,R2,jvm_buffer_total_capacity,81.00%,2024-03-05
RandomForestRegressor,Explained Variance,jvm_buffer_total_capacity,87.00%,2024-03-05
RandomForestRegressor,MSE,jvm_classes_loaded,2.26595%,2024-03-05
RandomForestRegressor,MAE,jvm_classes_loaded,11.08%,2024-03-05
RandomForestRegressor,R2,jvm_classes_loaded,78.00%,2024-03-05
RandomForestRegressor,Explained Variance,jvm_classes_loaded,74.00%,2024-03-05
GradientBoostingRegressor,MSE,jvm_compilation_time,2.1987748991%,2024-03-05
GradientBoostingRegressor,MAE,jvm_compilation_time,2.59791%,2024-03-05
GradientBoostingRegressor,R2,jvm_compilation_time,81.00%,2024-03-05
GradientBoostingRegressor,Explained Variance,jvm_compilation_time,89.00%,2024-03-05
SVR,MSE,jvm_compilation_time,10.84174521594%,2024-03-05
SVR,MAE,jvm_compilation_time,40.17881%,2024-03-05
SVR,R2,jvm_compilation_time,70.82%,2024-03-05
SVR,Explained Variance,jvm_compilation_time,70.83%,2024-03-05
RandomForestRegressor,MSE,jvm_compilation_time,16.310693066%,2024-03-05
RandomForestRegressor,MAE,jvm_compilation_time,18.1101%,2024-03-05
