Model Name,Accuracy Name,Metric Name,Accuracy Value,Training Date
GradientBoostingRegressor,MSE,disk_free,4531088112008407040.00%,2024-03-05
GradientBoostingRegressor,MAE,disk_free,243538367.23%,2024-03-05
GradientBoostingRegressor,R2,disk_free,1.00%,2024-03-05
GradientBoostingRegressor,Explained Variance,disk_free,1.00%,2024-03-05
RandomForestRegressor,MSE,disk_free,9459001307987138560.00%,2024-03-05
RandomForestRegressor,MAE,disk_free,194550084.67%,2024-03-05
RandomForestRegressor,R2,disk_free,1.00%,2024-03-05
RandomForestRegressor,Explained Variance,disk_free,1.00%,2024-03-05
SVR,MSE,disk_free,3.3759971561678155e+21%,2024-03-05
SVR,MAE,disk_free,33376405125.69%,2024-03-05
SVR,R2,disk_free,-0.07%,2024-03-05
SVR,Explained Variance,disk_free,0.00%,2024-03-05
GradientBoostingRegressor,MSE,hikaricp_connections_acquire,6468993704430.89%,2024-03-05
GradientBoostingRegressor,MAE,hikaricp_connections_acquire,125385.68%,2024-03-05
GradientBoostingRegressor,R2,hikaricp_connections_acquire,0.99%,2024-03-05
GradientBoostingRegressor,Explained Variance,hikaricp_connections_acquire,0.99%,2024-03-05
RandomForestRegressor,MSE,hikaricp_connections_acquire,6484384127185.02%,2024-03-05
RandomForestRegressor,MAE,hikaricp_connections_acquire,59340.63%,2024-03-05
RandomForestRegressor,R2,hikaricp_connections_acquire,0.99%,2024-03-05
RandomForestRegressor,Explained Variance,hikaricp_connections_acquire,0.99%,2024-03-05
SVR,MSE,hikaricp_connections_acquire,1027617230360229.75%,2024-03-05
SVR,MAE,hikaricp_connections_acquire,10297855.50%,2024-03-05
SVR,R2,hikaricp_connections_acquire,-0.11%,2024-03-05
SVR,Explained Variance,hikaricp_connections_acquire,0.00%,2024-03-05
GradientBoostingRegressor,MSE,http_server_requests,11457948353105592.00%,2024-03-05
GradientBoostingRegressor,MAE,http_server_requests,23081496.08%,2024-03-05
GradientBoostingRegressor,R2,http_server_requests,0.92%,2024-03-05
GradientBoostingRegressor,Explained Variance,http_server_requests,0.92%,2024-03-05
RandomForestRegressor,MSE,http_server_requests,9216410837682570.00%,2024-03-11
RandomForestRegressor,MAE,http_server_requests,20522992.72%,2024-03-11
RandomForestRegressor,R2,http_server_requests,0.92%,2024-03-11
RandomForestRegressor,Explained Variance,http_server_requests,0.92%,2024-03-11
GradientBoostingRegressor,MSE,http_server_requests_active,32.51%,2024-03-05
GradientBoostingRegressor,MAE,http_server_requests_active,2.38%,2024-03-05
GradientBoostingRegressor,R2,http_server_requests_active,0.86%,2024-03-05
GradientBoostingRegressor,Explained Variance,http_server_requests_active,0.86%,2024-03-05
RandomForestRegressor,MSE,http_server_requests_active,34.25%,2024-03-05
RandomForestRegressor,MAE,http_server_requests_active,1.97%,2024-03-05
RandomForestRegressor,R2,http_server_requests_active,0.85%,2024-03-05
RandomForestRegressor,Explained Variance,http_server_requests_active,0.85%,2024-03-05
SVR,MSE,http_server_requests_active,52.04%,2024-03-11
SVR,MAE,http_server_requests_active,1.85%,2024-03-11
SVR,R2,http_server_requests_active,0.77%,2024-03-11
SVR,Explained Variance,http_server_requests_active,0.77%,2024-03-11
GradientBoostingRegressor,MSE,jvm_buffer_count,41.73%,2024-03-05
GradientBoostingRegressor,MAE,jvm_buffer_count,0.62%,2024-03-05
GradientBoostingRegressor,R2,jvm_buffer_count,0.99%,2024-03-05
GradientBoostingRegressor,Explained Variance,jvm_buffer_count,0.99%,2024-03-05
RandomForestRegressor,MSE,jvm_buffer_count,38.97%,2024-03-05
RandomForestRegressor,MAE,jvm_buffer_count,0.46%,2024-03-05
RandomForestRegressor,R2,jvm_buffer_count,0.99%,2024-03-05
RandomForestRegressor,Explained Variance,jvm_buffer_count,0.99%,2024-03-05
SVR,MSE,jvm_buffer_count,40.47%,2024-03-05
SVR,MAE,jvm_buffer_count,0.46%,2024-03-05
SVR,R2,jvm_buffer_count,0.99%,2024-03-05
SVR,Explained Variance,jvm_buffer_count,0.99%,2024-03-05
GradientBoostingRegressor,MSE,jvm_buffer_memory_used,37737493747.19%,2024-03-05
GradientBoostingRegressor,MAE,jvm_buffer_memory_used,23460.93%,2024-03-05
GradientBoostingRegressor,R2,jvm_buffer_memory_used,1.00%,2024-03-05
GradientBoostingRegressor,Explained Variance,jvm_buffer_memory_used,1.00%,2024-03-05
RandomForestRegressor,MSE,jvm_buffer_memory_used,38913682407.54%,2024-03-05
RandomForestRegressor,MAE,jvm_buffer_memory_used,17537.54%,2024-03-05
RandomForestRegressor,R2,jvm_buffer_memory_used,1.00%,2024-03-05
RandomForestRegressor,Explained Variance,jvm_buffer_memory_used,1.00%,2024-03-05
SVR,MSE,jvm_buffer_memory_used,11068083596503.65%,2024-03-05
SVR,MAE,jvm_buffer_memory_used,2453222.77%,2024-03-05
SVR,R2,jvm_buffer_memory_used,0.11%,2024-03-05
SVR,Explained Variance,jvm_buffer_memory_used,0.21%,2024-03-05
GradientBoostingRegressor,MSE,jvm_buffer_total_capacity,37304401313.79%,2024-03-05
GradientBoostingRegressor,MAE,jvm_buffer_total_capacity,23296.98%,2024-03-05
GradientBoostingRegressor,R2,jvm_buffer_total_capacity,1.00%,2024-03-05
GradientBoostingRegressor,Explained Variance,jvm_buffer_total_capacity,1.00%,2024-03-05
RandomForestRegressor,MSE,jvm_buffer_total_capacity,37995369127.58%,2024-03-05
RandomForestRegressor,MAE,jvm_buffer_total_capacity,13493.69%,2024-03-05
RandomForestRegressor,R2,jvm_buffer_total_capacity,1.00%,2024-03-05
RandomForestRegressor,Explained Variance,jvm_buffer_total_capacity,1.00%,2024-03-05
SVR,MSE,jvm_buffer_total_capacity,11067363838216.38%,2024-03-05
SVR,MAE,jvm_buffer_total_capacity,2453790.92%,2024-03-05
SVR,R2,jvm_buffer_total_capacity,0.11%,2024-03-05
SVR,Explained Variance,jvm_buffer_total_capacity,0.21%,2024-03-05
GradientBoostingRegressor,MSE,jvm_classes_loaded,2337.04%,2024-03-05
GradientBoostingRegressor,MAE,jvm_classes_loaded,15.00%,2024-03-05
GradientBoostingRegressor,R2,jvm_classes_loaded,1.00%,2024-03-05
GradientBoostingRegressor,Explained Variance,jvm_classes_loaded,1.00%,2024-03-05
